pi	alpha	beta	mean	n_nonzero	fit_method	metapath	target_gene	n_compound_slots
0.05454545454545454	6.457770173863931	15.683099547332228	0.41176619164943257	30000	method_of_moments	CbG	EEF1A1	55
0.07272727272727272	7.302813239021995	18.52675716596649	0.3941765508988916	40000	method_of_moments	CbG	EEF1A2	55
0.9337509090909091	1.4278339770511874	21.9151369057448	0.06515286594796026	513563	method_of_moments	CbGiG	EEF1A1	55
0.26157636363636366	2.1632635218135485	20.152211551593272	0.10734620943588283	143867	method_of_moments	CbGiG	EEF1A2	55
0.7713072727272727	0.81553903524029	39.346193589884244	0.02072726637145307	424219	method_of_moments	CbGpBP	EEF1A1	55
0.6467709090909091	0.810101374630969	40.178230995676685	0.020162693940361354	355724	method_of_moments	CbGpBP	EEF1A2	55
0.9851090909090909	0.8751656767204193	16.499738940743274	0.05304118324922995	541810	method_of_moments	CbGpCC	EEF1A1	55
0.9751363636363637	0.7005754190082204	20.108321607946625	0.03484007430691577	536325	method_of_moments	CbGpCC	EEF1A2	55
0.9224072727272727	0.9813221502306763	31.775602896431394	0.030882880599596273	507324	method_of_moments	CbGpMF	EEF1A1	55
0.8603745454545455	0.8658076247869546	32.196321205759084	0.02689150786059633	473206	method_of_moments	CbGpMF	EEF1A2	55
0.8257890909090909	0.5180778940616431	15.179530828061422	0.034130033393647834	454184	method_of_moments	CbGpPW	EEF1A1	55
0.2592654545454545	2.0943882223194286	60.492471258382125	0.034622295613840046	142596	method_of_moments	CbGpPW	EEF1A2	55
0.03836317135549872	8.817495285799321	42.67347134096459	0.20662709193135	150000	method_of_moments	CsG	EEF1A2	391
0.979743989769821	2.451950772460252	63.621750742855504	0.03853950486792596	3830799	method_of_moments	CsGiG	EEF1A1	391
0.6729762148337596	4.84108388779578	156.31248418345882	0.030970551796195366	2631337	method_of_moments	CsGiG	EEF1A2	391
0.9301434782608695	3.065154474757922	123.97225942116904	0.024724518929228518	3636861	method_of_moments	CsGpPW	EEF1A1	391
0.5700662404092072	3.587008639025775	291.4066975100728	0.012309286882130725	2228959	method_of_moments	CsGpPW	EEF1A2	391
