protein_id	external_id
EEF1A1	ncbi:1915
EEF1B2	ncbi:1933
EEF1G	ncbi:1937
EEF1D	ncbi:1936
RPL18A	ncbi:6142
RPL4	ncbi:6124
EEF1A2	ncbi:1917
RPL7	ncbi:6129
RPS2	ncbi:6187
RPL3	ncbi:6122
RPS3	ncbi:6188
RPS3A	ncbi:6189
RAN	ncbi:5901
ETF1	ncbi:2107
HSF1	ncbi:3297
PAPSS2	ncbi:9060
PAPSS1	ncbi:9061
ST6GALNAC1	ncbi:55808
