compound_id	target_gene	metapath	dwpc
CHEMBL3891011	EEF1A2	CbGiG	0.05453244916176977
CHEMBL3922414	EEF1A2	CbGiG	0.05453244916176977
CHEMBL3983798	EEF1A2	CbGiG	0.05453244916176977
CHEMBL3919811	EEF1A2	CbGiG	0.05453244916176977
CHEMBL3923966	EEF1A2	CbGiG	0.05453244916176977
CHEMBL3905315	EEF1A2	CbGiG	0.05453244916176977
CHEMBL3967087	EEF1A2	CbGiG	0.05453244916176977
CHEMBL4070633	EEF1A2	CbGiG	0.05453244916176977
CHEMBL4087666	EEF1A2	CbGiG	0.05453244916176977
CHEMBL4077078	EEF1A2	CbGiG	0.05453244916176977
CHEMBL4099031	EEF1A2	CbGiG	0.05453244916176977
CHEMBL4063330	EEF1A2	CbGiG	0.05453244916176977
CHEMBL4069552	EEF1A2	CbGiG	0.05453244916176977
CHEMBL4096048	EEF1A2	CbGiG	0.05453244916176977
CHEMBL4070302	EEF1A2	CbGiG	0.05453244916176977
CHEMBL4102297	EEF1A2	CbGiG	0.05453244916176977
CHEMBL4282794	EEF1A2	CbGiG	0.05453244916176977
CHEMBL2103840	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL5653589	EEF1A1	CbGpBP	0.23690412638822222
CHEMBL3752910	EEF1A1	CbGpBP	0.18208525020859323
CHEMBL1232461	EEF1A1	CbGpBP	0.12447256281939716
CHEMBL1802814	EEF1A1	CbGpBP	0.12694408834650006
CHEMBL1802815	EEF1A1	CbGpBP	0.12694408834650006
CHEMBL1802973	EEF1A1	CbGpBP	0.12694408834650006
CHEMBL555689	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL559594	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL564799	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL561125	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL562794	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL560663	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL550249	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL558033	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL564316	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL559039	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL550251	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL565134	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL301982	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3609826	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3937369	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3975567	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3946252	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3947240	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3919459	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3955977	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3928361	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3900925	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3972065	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3953713	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3901185	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3944589	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3916672	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3964729	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3911352	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3936187	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3891011	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3922414	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3983798	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3919811	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3923966	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3905315	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL3967087	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL4070633	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL4087666	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL4077078	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL4099031	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL4063330	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL4069552	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL4096048	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL4070302	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL4102297	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL4282794	EEF1A1	CbGpBP	0.009770209525812376
CHEMBL5653589	EEF1A2	CbGpBP	0.14967042947652448
CHEMBL3752910	EEF1A2	CbGpBP	0.17463608230163016
CHEMBL1232461	EEF1A2	CbGpBP	0.10796840703337231
CHEMBL1802814	EEF1A2	CbGpBP	0.14242557310433268
CHEMBL1802815	EEF1A2	CbGpBP	0.14242557310433268
CHEMBL1802973	EEF1A2	CbGpBP	0.14242557310433268
CHEMBL3301622	EEF1A1	CbGpMF	0.09485564353165822
CHEMBL2103840	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL5653589	EEF1A1	CbGpMF	0.25813672560992534
CHEMBL3752910	EEF1A1	CbGpMF	0.20119441677959285
CHEMBL1232461	EEF1A1	CbGpMF	0.07748068329322842
CHEMBL1802814	EEF1A1	CbGpMF	0.12678116751878638
CHEMBL1802815	EEF1A1	CbGpMF	0.12678116751878638
CHEMBL1802973	EEF1A1	CbGpMF	0.12678116751878638
CHEMBL555689	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL559594	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL564799	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL561125	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL562794	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL560663	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL550249	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL558033	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL564316	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL559039	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL550251	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL565134	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL301982	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3609826	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3937369	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3975567	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3946252	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3947240	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3919459	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3955977	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3928361	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3900925	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3972065	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3953713	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3901185	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3944589	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3916672	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3964729	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3911352	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3936187	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3891011	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3922414	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3983798	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3919811	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3923966	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3905315	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3967087	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL4070633	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL4087666	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL4077078	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL4099031	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL4063330	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL4069552	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL4096048	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL4070302	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL4102297	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL4282794	EEF1A1	CbGpMF	0.009163249380367318
CHEMBL3301622	EEF1A2	CbGpMF	0.09367994971025236
CHEMBL2103840	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL5653589	EEF1A2	CbGpMF	0.17948092051971978
CHEMBL3752910	EEF1A2	CbGpMF	0.12349654970757173
CHEMBL1232461	EEF1A2	CbGpMF	0.11746305890277893
CHEMBL1802814	EEF1A2	CbGpMF	0.14224278324337902
CHEMBL1802815	EEF1A2	CbGpMF	0.14224278324337902
CHEMBL1802973	EEF1A2	CbGpMF	0.14224278324337902
CHEMBL555689	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL559594	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL564799	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL561125	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL562794	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL560663	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL550249	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL558033	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL564316	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL559039	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL550251	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL565134	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL301982	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3609826	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3937369	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3975567	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3946252	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3947240	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3919459	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3955977	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3928361	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3900925	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3972065	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3953713	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3901185	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3944589	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3916672	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3964729	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3911352	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3936187	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3891011	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3922414	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3983798	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3919811	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3923966	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3905315	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3967087	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL4070633	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL4087666	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL4077078	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL4099031	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL4063330	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL4069552	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL4096048	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL4070302	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL4102297	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL4282794	EEF1A2	CbGpMF	0.010776705374412218
CHEMBL3301622	EEF1A1	CbGpCC	0.060166613552169214
CHEMBL2103840	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL5653589	EEF1A1	CbGpCC	0.3450840975846603
CHEMBL3752910	EEF1A1	CbGpCC	0.414877520685627
CHEMBL1232461	EEF1A1	CbGpCC	0.14964819162221196
CHEMBL1802814	EEF1A1	CbGpCC	0.07500496955509395
CHEMBL1802815	EEF1A1	CbGpCC	0.07500496955509395
CHEMBL1802973	EEF1A1	CbGpCC	0.07500496955509395
CHEMBL555689	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL559594	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL564799	EEF1A1	CbGpCC	0.008380604437370211
