compound_id	best_metapath	best_target_gene	dwpc_at_best	p_cell_min	p_minp	q_bh	p_bonferroni	p_westfall_young	n_permutations	significant_bh	significant_bonferroni	significant_wy
CHEMBL1802814	CbGpBP	EEF1A1	0.1269440883465	0.0004999500049995	0.0016998300169983002	0.008074192580741926	0.032296770322967704	0.0016998300169983002	10000	True	True	True
CHEMBL1802815	CbGpBP	EEF1A1	0.1269440883465	0.0004999500049995	0.0016998300169983002	0.008074192580741926	0.032296770322967704	0.0016998300169983002	10000	True	True	True
CHEMBL1802973	CbGpBP	EEF1A1	0.1269440883465	0.0004999500049995	0.0016998300169983002	0.008074192580741926	0.032296770322967704	0.0016998300169983002	10000	True	True	True
CHEMBL5653589	CbGpBP	EEF1A1	0.1675037287990599	0.0004999500049995	0.0016998300169983002	0.008074192580741926	0.032296770322967704	0.0016998300169983002	10000	True	True	True
CHEMBL1242996	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
CHEMBL1418244	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
PUBCHEM:20042692	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
PUBCHEM:3246323	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
CHEMBL113178	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
CHEMBL284377	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
PUBCHEM:14888	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
CHEMBL1201369	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
CHEMBL384759	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
PUBCHEM:6830	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
CHEMBL1627076	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
CHEMBL1200456	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
CHEMBL2146125	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
CHEMBL1233085	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
CHEMBL1742182	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0105989401059894	0.0105989401059894	0.20137986201379862	0.036096390360963904	10000	True	False	True
