compound_id	best_metapath	best_target_gene	dwpc_at_best	p_cell_min	p_minp	q_bh	p_bonferroni	p_westfall_young	n_permutations	significant_bh	significant_bonferroni	significant_wy
CHEMBL5653589	CbGpPW	EEF1A2	0.2561702168637927	9.999000099990002e-05	9.999000099990002e-05	0.011148885111488852	0.04459554044595541	9.999000099990002e-05	10000	True	True	True
CHEMBL692	CsGiG	EEF1A2	0.1743517509540071	9.999000099990002e-05	9.999000099990002e-05	0.011148885111488852	0.04459554044595541	9.999000099990002e-05	10000	True	True	True
CHEMBL1214873	CsGiG	EEF1A2	0.1525607889467058	9.999000099990002e-05	9.999000099990002e-05	0.011148885111488852	0.04459554044595541	9.999000099990002e-05	10000	True	True	True
CHEMBL113178	CsGiG	EEF1A2	0.1558929466046397	9.999000099990002e-05	9.999000099990002e-05	0.011148885111488852	0.04459554044595541	9.999000099990002e-05	10000	True	True	True
CHEMBL1236347	CsGiG	EEF1A2	0.1525607889467058	0.00019998000199980003	0.00039996000399960006	0.027872212778722125	0.17838216178382163	0.11148885111488852	10000	True	False	False
CHEMBL1159819	CsGiG	EEF1A2	0.1355358062579397	0.00019998000199980003	0.0004999500049995	0.027872212778722125	0.222977702229777	0.11148885111488852	10000	True	False	False
PUBCHEM:84265	CsGiG	EEF1A2	0.1525607889467058	0.00029997000299970003	0.0004999500049995	0.027872212778722125	0.222977702229777	0.19708029197080293	10000	True	False	False
CHEMBL1200456	CsGiG	EEF1A2	0.1155794387967333	0.00019998000199980003	0.0004999500049995	0.027872212778722125	0.222977702229777	0.11148885111488852	10000	True	False	False
PUBCHEM:16760241	CsGiG	EEF1A2	0.1525607889467058	0.00029997000299970003	0.0005999400059994001	0.029730360297303603	0.2675732426757324	0.19708029197080293	10000	True	False	False
PUBCHEM:448209	CsGiG	EEF1A2	0.1525607889467058	0.00029997000299970003	0.0006999300069993001	0.030873835693353738	0.31216878312168783	0.19708029197080293	10000	True	False	False
CHEMBL1200547	CsGiG	EEF1A2	0.1355358062579397	0.00029997000299970003	0.0008999100089991	0.030873835693353738	0.40135986401359863	0.19708029197080293	10000	True	False	False
