parent,pubchem_cid,title,canonical_smiles,tanimoto,mw,n_vendors,example_vendors,is_exact_or_stereoisomer,source
CHEMBL5653589,11316850,4-Methyl-3-(4-(pyridin-3-yl) pyrimidin-2-ylamino)-N-(3-(trifluoro methyl) phenyl) benzamide (A2),CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=NC=CC(=N3)C4=CN=CC=C4,0.636,449.4360000000001,1,CATO Research Chemicals Inc.,False,PubChem 2D similarity
CHEMBL5653589,145962765,"4-methyl-3-[(6-pyridin-3-yl-1H-pyrrolo[2,3-b]pyridin-4-yl)amino]-N-[3-(trifluoromethyl)phenyl]benzamide",CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=CC(=NC4=C3C=CN4)C5=CN=CC=C5,0.625,487.4850000000001,0,,False,PubChem 2D similarity
CHEMBL5653589,76401488,"N-(3,5-bis(trifluoromethyl) phenyl)-4-methyl-3-(4-(pyridin-3-yl) pyrimidin-2-ylamino) benzamide (A8)",CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)NC3=NC=CC(=N3)C4=CN=CC=C4,0.55,517.4330000000001,0,,False,PubChem 2D similarity
CHEMBL5653589,11518031,4-methyl-3-(3-(pyrimidin-4-yl)pyridin-2-ylamino)-N-(3-(trifluoromethyl)phenyl)benzamide,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=C(C=CC=N3)C4=NC=NC=C4,0.537,449.4360000000001,0,,False,PubChem 2D similarity
CHEMBL5653589,644241,Nilotinib,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.505,529.5260000000002,101,001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AChemBlock,False,PubChem 2D similarity
CHEMBL5653589,16006490,Nilotinib Hydrochloride Anhydrous,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.Cl,0.5,565.9870000000002,58,10X CHEM; A2B Chem; AA BLOCKS; AChemBlock; AKos Consulting & Solutions,False,PubChem 2D similarity
CHEMBL5653589,50750207,"2-[5,7-Dimethyl-2-(pyridin-3-YL)-[1,2,4]triazolo[1,5-A]pyrimidin-6-YL]-N-[3-(trifluoromethyl)phenyl]acetamide",CC1=C(C(=NC2=NC(=NN12)C3=CN=CC=C3)C)CC(=O)NC4=CC=CC(=C4)C(F)(F)F,0.46,426.40200000000004,5,AKos Consulting & Solutions; Ambinter; ChemDiv; Mcule; Molport,False,PubChem 2D similarity
CHEMBL5653589,46237928,"N-(2-methyl-6-phenyl-2H-pyrazolo[3,4-d]pyrimidin-4-yl)benzamide",CN1C=C2C(=N1)N=C(N=C2NC(=O)C3=CC=CC=C3)C4=CC=CC=C4,0.446,329.36300000000006,0,,False,PubChem 2D similarity
CHEMBL5653589,11648060,4-methyl-3-(3-(pyrimidin-4-yl)pyridin-2-ylamino)-N-(4-(trifluoromethyl)phenyl)benzamide,CC1=C(C=C(C=C1)C(=O)NC2=CC=C(C=C2)C(F)(F)F)NC3=C(C=CC=N3)C4=NC=NC=C4,0.442,449.4360000000001,0,,False,PubChem 2D similarity
CHEMBL5653589,16063245,Radotinib,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=NC=CN=C5,0.432,530.5140000000001,71,001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AChemBlock,False,PubChem 2D similarity
CHEMBL5653589,76401486,N-(2-fluorophenyl)-4-methyl-3-(4-(pyridin-3-yl) pyrimidin-2-ylamino) benzamide (A6),CC1=C(C=C(C=C1)C(=O)NC2=CC=CC=C2F)NC3=NC=CC(=N3)C4=CN=CC=C4,0.424,399.4290000000001,0,,False,PubChem 2D similarity
CHEMBL5653589,24916922,Dimethyl-[3-[3-[[4-methyl-3-[(3-pyrimidin-4-ylpyridin-2-yl)amino]benzoyl]amino]-5-(trifluoromethyl)phenyl]propyl]azanium,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)CCC[NH+](C)C)NC3=C(C=CC=N3)C4=NC=NC=C4,0.408,535.5940000000003,0,,False,PubChem 2D similarity
CHEMBL5653589,11497471,N-{3-[3-(Dimethylamino)propyl]-5-(Trifluoromethyl)phenyl}-4-Methyl-3-[(3-Pyrimidin-4-Ylpyridin-2-Yl)amino]benzamide,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)CCCN(C)C)NC3=C(C=CC=N3)C4=NC=NC=C4,0.394,534.5860000000002,3,001Chemical; MolCore; MolCore,False,PubChem 2D similarity
CHEMBL5653589,11617856,4-Methyl-n-phenyl-3-((3-(4-pyrimidinyl)-2-pyridinyl)amino)benzamide,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC=C2)NC3=C(C=CC=N3)C4=NC=NC=C4,0.388,381.4390000000001,1,"Debye Scientific Co., Ltd",False,PubChem 2D similarity
