rank_network,rank_chemistry,compound_id,pref_name,best_metapath,best_target_gene,dwpc_at_best,p_cell_min,p_minp,q_bh,p_bonferroni,p_westfall_young,significant_bh,significant_bonferroni,significant_wy,edge_layers,n_seed_targets,pchembl_max,pchembl_EEF1A1,pchembl_EEF1A2,paralogue_log_selectivity,evidence_types,chembl_targets,stitch_score_max,stitch_experimental_max,stitch_database_max,stitch_textmining_max_discarded,stitch_targets,binds_eef1a_directly,substrate_relation_only,seed_targets,evidence_grade,assay_protein,n_supporting_assays,max_seed_proteins_in_one_document,example_assay_description,tractable_small_molecule,nucleotide_cofactor,structural_exclusion_reason,n_heavy_atoms,n_rings,sa_score,max_phase,alogp,mw,n_vendors,example_vendors,canonical_smiles,inchikey,pubchem_cid,structure_source
5,,CHEMBL1233085,Gpp(NH)p,CsGpPW,EEF1A1,0.0428892327237658,0.0086991300869913,0.0105989401059894,0.0105989401059894,0.2013798620137986,0.0360963903609639,True,False,True,STITCH,3,,,,,,,755.0,755.0,0.0,282.0,EEF1A2|ETF1|RPS2,True,False,EEF1A2|ETF1|RPS2,stitch_only,,,,,True,True,,32,3,4.75,,,522.197,0,,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O)NC(=NC2=O)N,,,ChEMBL
5,,CHEMBL1242996,guanylate,CsGpPW,EEF1A1,0.0428892327237658,0.0086991300869913,0.0105989401059894,0.0105989401059894,0.2013798620137986,0.0360963903609639,True,False,True,STITCH,2,,,,,,,704.0,704.0,0.0,0.0,EEF1A2|RPS2,True,False,EEF1A2|RPS2,stitch_only,,,,,True,True,,24,3,3.96,,,363.223,0,,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=NC2=O)N,,,ChEMBL
5,,CHEMBL1418244,pSer,CsGpPW,EEF1A1,0.0428892327237658,0.0086991300869913,0.0105989401059894,0.0105989401059894,0.2013798620137986,0.0360963903609639,True,False,True,STITCH,1,,,,,,,741.0,741.0,0.0,165.0,EEF1A2,True,False,EEF1A2,stitch_only,,,,,False,False,acyclic; MW 185 < 250; 11 heavy atoms < 18,11,0,3.05,,,185.072,0,,C(C(C(=O)O)N)OP(=O)(O)O,,,ChEMBL
5,,CHEMBL1627076,guanylate,CsGpPW,EEF1A1,0.0428892327237658,0.0086991300869913,0.0105989401059894,0.0105989401059894,0.2013798620137986,0.0360963903609639,True,False,True,STITCH,2,,,,,,,704.0,704.0,0.0,0.0,EEF1A2|RPS2,True,False,EEF1A2|RPS2,stitch_only,,,,,True,True,,24,3,3.96,,,363.223,0,,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=NC2=O)N,,,ChEMBL
5,,CHEMBL1742182,O-phosphothreonine,CsGpPW,EEF1A1,0.0428892327237658,0.0086991300869913,0.0105989401059894,0.0105989401059894,0.2013798620137986,0.0360963903609639,True,False,True,STITCH,1,,,,,,,741.0,741.0,0.0,0.0,EEF1A2,True,False,EEF1A2,stitch_only,,,,,False,False,acyclic; MW 199 < 250; 12 heavy atoms < 18,12,0,3.58,,,199.099,0,,CC(C(C(=O)O)N)OP(=O)(O)O,,,ChEMBL
5,,CHEMBL284377,phospho-serine,CsGpPW,EEF1A1,0.0428892327237658,0.0086991300869913,0.0105989401059894,0.0105989401059894,0.2013798620137986,0.0360963903609639,True,False,True,STITCH,1,,,,,,,741.0,741.0,0.0,165.0,EEF1A2,True,False,EEF1A2,stitch_only,,,,,False,False,acyclic; MW 185 < 250; 11 heavy atoms < 18,11,0,3.05,,,185.072,0,,C(C(C(=O)O)N)OP(=O)(O)O,,,ChEMBL
5,,PUBCHEM:14888,arsenic trioxide,CsGpPW,EEF1A1,0.0428892327237658,0.0086991300869913,0.0105989401059894,0.0105989401059894,0.2013798620137986,0.0360963903609639,True,False,True,STITCH,2,,,,,,,700.0,0.0,700.0,0.0,EEF1A2|HSF1,True,False,EEF1A2|HSF1,stitch_only,,,,,False,False,inorganic (no carbon); contains metal/metalloid; acyclic; MW 198 < 250; 5 heavy atoms < 18,5,0,8.04,,,197.841,15,Ambinter; BenchChem; CATO Research Chemicals Inc.; Chem-Impex; Chem-Impex,[O-2].[O-2].[O-2].[As+3].[As+3],,14888.0,
5,,PUBCHEM:3246323,O-phosphothreonine,CsGpPW,EEF1A1,0.0428892327237658,0.0086991300869913,0.0105989401059894,0.0105989401059894,0.2013798620137986,0.0360963903609639,True,False,True,STITCH,1,,,,,,,741.0,741.0,0.0,0.0,EEF1A2,True,False,EEF1A2,stitch_only,,,,,False,False,acyclic; MW 199 < 250; 12 heavy atoms < 18,12,0,3.58,,,199.099,59,10X CHEM; 10X CHEM; A2B Chem; A2B Chem; AA BLOCKS,CC(C(C(=O)O)N)OP(=O)(O)O,,3246323.0,
