rank_network,rank_chemistry,compound_id,pref_name,best_metapath,best_target_gene,dwpc_at_best,p_cell_min,p_minp,q_bh,p_bonferroni,p_westfall_young,significant_bh,significant_bonferroni,significant_wy,edge_layers,n_seed_targets,pchembl_max,pchembl_EEF1A1,pchembl_EEF1A2,paralogue_log_selectivity,evidence_types,chembl_targets,stitch_score_max,stitch_experimental_max,stitch_database_max,stitch_textmining_max_discarded,stitch_targets,binds_eef1a_directly,substrate_relation_only,seed_targets,evidence_grade,assay_protein,n_supporting_assays,max_seed_proteins_in_one_document,example_assay_description,tractable_small_molecule,nucleotide_cofactor,structural_exclusion_reason,n_heavy_atoms,n_rings,sa_score,max_phase,alogp,mw,n_vendors,example_vendors,canonical_smiles,inchikey,pubchem_cid,structure_source
11,,CHEMBL1200547,chloride,CsGiG,EEF1A2,0.1355358062579397,0.0002999700029997,0.0008999100089991,0.0308738356933537,0.4013598640135986,0.1970802919708029,True,False,False,STITCH,7,,,,,,,939.0,939.0,0.0,254.0,EEF1G|PAPSS1|PAPSS2|RPL3|RPL4|RPL7|ST6GALNAC1,False,False,EEF1G|PAPSS1|PAPSS2|RPL3|RPL4|RPL7|ST6GALNAC1,stitch_only,,,,,False,False,inorganic (no carbon); acyclic; MW 35 < 250; 1 heavy atoms < 18,1,0,8.48,,,35.453,0,,[Cl-],,,ChEMBL
12,45.0,CHEMBL1232461,MOLIBRESIB,CbGpPW,EEF1A2,0.2014238313290769,0.0001999800019998,0.000999900009999,0.0308738356933537,0.445955404459554,0.1114888511148885,True,False,False,ChEMBL,3,5.46,,,,IC50,EEF1D|EEF1G|RPS3A,,,,,,False,False,EEF1D|EEF1G|RPS3A,multiplexed_pulldown,EEF1D,6.0,6.0,Inhibition of EEF1D (unknown origin) assessed as fold change at 10 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,True,False,,30,4,3.0,2.0,3.66,423.90400000000017,73,001Chemical; 10X CHEM; 1st Scientific; A2B Chem; AA BLOCKS,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,AAAQFGUYHFJNHI-SFHVURJKSA-N,46943432.0,ChEMBL
13,,PUBCHEM:444104,glutathione sulfonic acid,CsGpPW,EEF1A2,0.0440893368118838,0.0005999400059994,0.0012998700129987,0.0308738356933537,0.5797420257974202,0.4031596840315968,True,False,False,STITCH,1,,,,,,,514.0,514.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic,23,0,3.14,,,355.32500000000005,34,001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AKos Consulting & Solutions,C(CC(=O)NC(CS(=O)(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N,,444104.0,
14,,CHEMBL1160571,pyrophosphate,CsGiG,EEF1A2,0.0852885491135841,0.0004999500049995,0.0013998600139986,0.0308738356933537,0.6243375662433757,0.3405659434056594,True,False,False,STITCH,2,,,,,,,964.0,644.0,900.0,210.0,PAPSS1|PAPSS2,False,True,PAPSS1|PAPSS2,stitch_only,,,,,False,False,inorganic (no carbon); acyclic; MW 178 < 250; 9 heavy atoms < 18,9,0,3.05,,,177.973,0,,OP(=O)(O)OP(=O)(O)O,,,ChEMBL
15,,PUBCHEM:64730,glucans,CsGpPW,EEF1A2,0.0440893368118838,0.0006999300069993,0.0014998500149985,0.0308738356933537,0.668933106689331,0.4534546545345465,True,False,False,STITCH,1,,,,,,,561.0,561.0,0.0,145.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic,25,0,4.0,,,372.2790000000001,11,Aladdin Scientific; Alfa Chemistry; Alfa Chemistry; BOC Sciences; BOC Sciences,C(C(C(C(C(C=O)O)O)O)O)O.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,64730.0,
16,,CHEMBL119596,EGEE,CsGpPW,EEF1A2,0.0440893368118838,0.0005999400059994,0.0015998400159984,0.0308738356933537,0.7135286471352865,0.4031596840315968,True,False,False,STITCH,1,,,,,,,477.0,477.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic; MW 90 < 250; 6 heavy atoms < 18,6,0,1.94,,,90.122,0,,CCOCCO,,,ChEMBL
16,,CHEMBL1206211,glucans,CsGpPW,EEF1A2,0.0440893368118838,0.0007999200079992,0.0015998400159984,0.0308738356933537,0.7135286471352865,0.504049595040496,True,False,False,STITCH,1,,,,,,,561.0,561.0,0.0,115.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic; MW 240 < 250; 16 heavy atoms < 18,16,0,3.74,,,240.208,0,,CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O,,,ChEMBL
16,,CHEMBL177327,AC1N9J6O,CsGpPW,EEF1A2,0.0440893368118838,0.0007999200079992,0.0015998400159984,0.0308738356933537,0.7135286471352865,0.504049595040496,True,False,False,STITCH,1,,,,,,,561.0,561.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic,28,0,3.55,,,423.40000000000015,0,,C(CC(=O)NC(CSC(CC(=O)O)C(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N,,,ChEMBL
16,,PUBCHEM:49866839,L-cysteine sulfoxide,CsGpPW,EEF1A2,0.0440893368118838,0.0006999300069993,0.0015998400159984,0.0308738356933537,0.7135286471352865,0.4534546545345465,True,False,False,STITCH,1,,,,,,,477.0,477.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic; MW 137 < 250; 8 heavy atoms < 18,8,0,4.81,,,137.16,0,,C(C(C(=O)O)N)S=O,,49866839.0,
20,,PUBCHEM:3486,glutathione sulfonic acid,CsGpPW,EEF1A2,0.0440893368118838,0.0007999200079992,0.0016998300169983,0.0308738356933537,0.7581241875812419,0.504049595040496,True,False,False,STITCH,1,,,,,,,514.0,514.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic,23,0,3.14,,,355.32500000000005,11,Ambinter; Biosynth; Chem-Impex; Mcule; MolCore,C(CC(=O)NC(CS(=O)(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N,,3486.0,
20,,PUBCHEM:5288232,AC1NRB2Z,CsGpPW,EEF1A2,0.0440893368118838,0.0007999200079992,0.0016998300169983,0.0308738356933537,0.7581241875812419,0.504049595040496,True,False,False,STITCH,1,,,,,,,573.0,573.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,True,False,,21,1,2.79,,,314.382,0,,CC(C)N(C1=CC=C(C=C1)F)C(=O)CSCC(C(=O)O)N,,5288232.0,
22,,CHEMBL1229766,pentaethylene glycol,CsGpPW,EEF1A2,0.0440893368118838,0.0008999100089991,0.0018998100189981,0.0308738356933537,0.8473152684731527,0.5508449155084492,True,False,False,STITCH,1,,,,,,,573.0,573.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic; MW 238 < 250; 16 heavy atoms < 18,16,0,2.06,,,238.27999999999994,0,,C(COCCOCCOCCOCCO)O,,,ChEMBL
22,,CHEMBL318812,AGN-PC-0IX121,CsGpPW,EEF1A2,0.0440893368118838,0.0006999300069993,0.0018998100189981,0.0308738356933537,0.8473152684731527,0.4534546545345465,True,False,False,STITCH,1,,,,,,,561.0,561.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,True,False,,26,4,4.07,,,351.446,0,,CN1CC2CC1CC(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,,,ChEMBL
24,,CHEMBL1356,benzoic acid,CsGpPW,EEF1A2,0.0440893368118838,0.0008999100089991,0.001999800019998,0.0308738356933537,0.891910808919108,0.5508449155084492,True,False,False,STITCH,1,,,,,,,561.0,561.0,0.0,112.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,MW 121 < 250; 9 heavy atoms < 18,9,1,2.22,,,121.11499999999997,0,,C1=CC=C(C=C1)C(=O)[O-],,,ChEMBL
24,,PUBCHEM:19002523,S-lactoylcysteine,CsGpPW,EEF1A2,0.0440893368118838,0.0008999100089991,0.001999800019998,0.0308738356933537,0.891910808919108,0.5508449155084492,True,False,False,STITCH,1,,,,,,,535.0,535.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic; MW 193 < 250; 12 heavy atoms < 18,12,0,3.66,,,193.224,0,,CC(C(=O)SCC(C(=O)O)N)O,,19002523.0,
26,,CHEMBL1235254,tetraethylene glycol,CsGpPW,EEF1A2,0.0440893368118838,0.0008999100089991,0.0020997900209979,0.0308738356933537,0.9365063493650636,0.5508449155084492,True,False,False,STITCH,1,,,,,,,561.0,561.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic; MW 194 < 250; 13 heavy atoms < 18,13,0,2.14,,,194.22699999999998,0,,C(COCCOCCOCCO)O,,,ChEMBL
26,,CHEMBL321214,CHEMBL321214,CsGpPW,EEF1A2,0.0440893368118838,0.0008999100089991,0.0020997900209979,0.0308738356933537,0.9365063493650636,0.5508449155084492,True,False,False,STITCH,1,,,,,,,561.0,561.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,True,False,,26,4,4.07,,,351.446,0,,CN1CC2CC1CC(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,,,ChEMBL
26,,PUBCHEM:6857725,AC1OAH4S,CsGpPW,EEF1A2,0.0440893368118838,0.000999900009999,0.0020997900209979,0.0308738356933537,0.9365063493650636,0.5908409159084091,True,False,False,STITCH,1,,,,,,,561.0,561.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic,28,0,3.55,,,423.40000000000015,0,,C(CC(=O)NC(CSC(CC(=O)O)C(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N,,6857725.0,
29,,CHEMBL1255943,glutamic acid,CsGpPW,EEF1A2,0.0440893368118838,0.000999900009999,0.0021997800219978,0.0308738356933537,0.981101889811019,0.5908409159084091,True,False,False,STITCH,1,,,,,,,573.0,573.0,0.0,235.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic; MW 147 < 250; 10 heavy atoms < 18,10,0,2.32,,,147.13,0,,C(CC(=O)O)C(C(=O)O)N,,,ChEMBL
29,,CHEMBL1372,GSSG,CsGpPW,EEF1A2,0.0440893368118838,0.000999900009999,0.0021997800219978,0.0308738356933537,0.981101889811019,0.5908409159084091,True,False,False,STITCH,1,,,,,,,535.0,535.0,0.0,154.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic,40,0,3.97,,,612.6400000000003,0,,C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N,,,ChEMBL
29,,PUBCHEM:5133,S-(p-nitrobenzyl)glutathione,CsGpPW,EEF1A2,0.0440893368118838,0.0008999100089991,0.0021997800219978,0.0308738356933537,0.981101889811019,0.5508449155084492,True,False,False,STITCH,1,,,,,,,514.0,514.0,0.0,216.0,EEF1G,False,True,EEF1G,stitch_only,,,,,True,False,,30,1,3.14,,,442.4500000000002,4,"Ambinter; Debye Scientific Co., Ltd; MolCore; Sigma-Aldrich",C1=CC(=CC=C1CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)[N+](=O)[O-],,5133.0,
32,,CHEMBL1236315,tartrate,CsGiG,EEF1A2,0.0852885491135841,0.0006999300069993,0.0022997700229977,0.0308738356933537,1.0,0.4534546545345465,True,False,False,STITCH,2,,,,,,,704.0,704.0,0.0,0.0,PAPSS1|PAPSS2,False,True,PAPSS1|PAPSS2,stitch_only,,,,,False,False,acyclic; MW 148 < 250; 10 heavy atoms < 18,10,0,4.95,,,148.07,0,,C(C(C(=O)[O-])O)(C(=O)[O-])O,,,ChEMBL
33,,CHEMBL100476,reduced glutathione,CsGpPW,EEF1A2,0.0440893368118838,0.0008999100089991,0.0024997500249975,0.0308738356933537,1.0,0.5508449155084492,True,False,False,STITCH,1,,,,,,,514.0,514.0,0.0,162.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic,20,0,3.01,,,307.32800000000003,0,,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,,,ChEMBL
