scope,compound_id,pref_name,q_bh,p_minp,best_metapath,best_target_gene,eef1a_direct,seeds_bound,clears_structural_floor,evidence_grade,pchembl_max,n_vendors,n_seed_targets
full-interactome,PUBCHEM:5288232,AC1NRB2Z,0.03087,0.0017,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,CHEMBL1229766,pentaethylene glycol,0.03087,0.0019,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,CHEMBL318812,AGN-PC-0IX121,0.03087,0.0019,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,CHEMBL1356,benzoic acid,0.03087,0.002,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,PUBCHEM:19002523,S-lactoylcysteine,0.03087,0.002,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,CHEMBL1235254,tetraethylene glycol,0.03087,0.0021,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,CHEMBL321214,CHEMBL321214,0.03087,0.0021,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,PUBCHEM:6857725,AC1OAH4S,0.03087,0.0021,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,CHEMBL1255943,glutamic acid,0.03087,0.0022,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,CHEMBL1372,GSSG,0.03087,0.0022,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,PUBCHEM:5133,S-(p-nitrobenzyl)glutathione,0.03087,0.0022,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,4,1
full-interactome,CHEMBL1236315,tartrate,0.03087,0.0023,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,0,2
full-interactome,CHEMBL100476,reduced glutathione,0.03087,0.0025,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,CHEMBL1161633,chlorate,0.03087,0.0025,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,0,2
full-interactome,CHEMBL572546,phosphosulfate,0.03087,0.0025,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,0,2
full-interactome,PUBCHEM:4473092,atrazine-glutathione conjugate,0.03087,0.0025,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,1,1
full-interactome,CHEMBL2097002,selenate,0.03087,0.0027,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,0,2
