stitch_chemical	protein_id	string_protein	experimental	database	textmining_discarded	prediction_discarded	channel_score	compound_id	mapped_to_chembl
CIDm10393692	RPL4	9606.ENSP00000311430	644	0	0	0	644	CHEMBL390183	True
CIDm10393692	RPL7	9606.ENSP00000339795	644	0	0	0	644	CHEMBL390183	True
CIDm10393692	RPL3	9606.ENSP00000346001	618	0	128	0	618	CHEMBL390183	True
CIDm09859662	HSF1	9606.ENSP00000431512	0	700	169	0	700	CHEMBL1240927	True
CIDm09116001	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1378232	True
CIDm08072991	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1457961	True
CIDm08030390	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1392611	True
CIDm07422385	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1503659	True
CIDm06618865	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1324188	True
CIDm06247456	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL3198633	True
CIDm06056757	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL3190911	True
CIDm05981552	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1732490	True
CIDm05807017	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1423731	True
CIDm05806923	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1971760	True
CIDm05735441	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL3192121	True
CIDm05456435	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1973921	True
CIDm05326960	EEF1G	9606.ENSP00000331901	488	0	0	0	488	PUBCHEM:5326960	False
CIDm05326793	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:5326793	False
CIDm05289145	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:5289145	False
CIDm05167876	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL3193873	True
CIDm04878136	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1573994	True
CIDm04657542	RPL4	9606.ENSP00000311430	644	0	0	0	644	CHEMBL1234265	True
CIDm04657542	RPL7	9606.ENSP00000339795	644	0	0	0	644	CHEMBL1234265	True
CIDm04657542	RPL3	9606.ENSP00000346001	618	0	0	0	618	CHEMBL1234265	True
CIDm04631220	EEF1G	9606.ENSP00000331901	573	0	0	0	573	PUBCHEM:4631220	False
CIDm04627981	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:4627981	False
CIDm04626828	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:4626828	False
CIDm04626828	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:4626828	False
CIDm04626828	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:4626828	False
CIDm04595490	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL3195389	True
CIDm04478774	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:4478774	False
CIDm04477870	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:4477870	False
CIDm04477870	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:4477870	False
CIDm04477870	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:4477870	False
CIDm04477870	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:4477870	False
CIDm04477868	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:4477868	False
CIDm04477868	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:4477868	False
CIDm04477868	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:4477868	False
CIDm04477691	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:4477691	False
CIDm04473609	PAPSS1	9606.ENSP00000265174	0	800	0	0	800	PUBCHEM:4473609	False
CIDm04473092	EEF1G	9606.ENSP00000331901	535	0	262	0	535	PUBCHEM:4473092	False
CIDm04470567	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:4470567	False
CIDm04469586	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:4469586	False
CIDm04469586	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:4469586	False
CIDm04469586	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:4469586	False
CIDm04469586	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:4469586	False
CIDm04469584	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:4469584	False
CIDm04469584	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:4469584	False
CIDm04469584	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:4469584	False
CIDm04469360	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:4469360	False
CIDm04469360	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:4469360	False
CIDm04469360	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:4469360	False
CIDm04468926	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:4468926	False
CIDm04411483	EEF1G	9606.ENSP00000331901	561	0	0	0	561	CHEMBL177327	True
CIDm04308939	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL3191946	True
CIDm04263090	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1453996	True
CIDm04086523	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1569988	True
CIDm04015202	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL3198939	True
CIDm03969890	HSF1	9606.ENSP00000431512	411	0	0	0	411	CHEMBL3191218	True
CIDm03903461	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1507250	True
CIDm03824948	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1303404	True
CIDm03789016	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1569984	True
CIDm03735390	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL3195657	True
CIDm03683840	RPS2	9606.ENSP00000341885	644	0	0	0	644	CHEMBL1230331	True
CIDm03606829	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1579258	True
CIDm03556268	RPS2	9606.ENSP00000341885	755	0	0	0	755	PUBCHEM:3556268	False
CIDm03528686	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL3193530	True
CIDm03525351	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1583837	True
CIDm03400927	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:3400927	False
CIDm03390551	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1595790	True
CIDm03380837	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1352521	True
CIDm03334071	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:3334071	False
CIDm03334071	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:3334071	False
CIDm03334071	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:3334071	False
CIDm03274683	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:3274683	False
CIDm03274683	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:3274683	False
CIDm03274683	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:3274683	False
CIDm03274683	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:3274683	False
CIDm03229425	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1583768	True
CIDm03129671	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1480522	True
CIDm03097536	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1385073	True
