compound_id	canonical_smiles	inchikey	pref_name	max_phase	alogp	mw
CHEMBL300138	Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21	AXRCEOKUDYDWLF-UHFFFAOYSA-N	ENZASTAURIN	3.0	4.93	515.62
CHEMBL576982	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1	CVWXJKQAOSCOAB-UHFFFAOYSA-N	QUIZARTINIB	4.0	5.86	560.68
CHEMBL3600873	O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1	LCVIRAZGMYMNNT-VVONHTQRSA-N	MK-5108	1.0	5.71	461.95
CHEMBL296468	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1	OUSFTKFNBAZUKL-UHFFFAOYSA-N	BMS-387032	1.0	3.66	380.54
CHEMBL3688339	CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1	DKZYXHCYPUVGAF-JCNLHEQBSA-N			6.04	487.43
CHEMBL3182621	Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)n(C)c1=O	RWEVIPRMPFNTLO-UHFFFAOYSA-N	AZD-8330	1.0	1.83	461.23
CHEMBL3989868	Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1	SDEAXTCZPQIFQM-UHFFFAOYSA-N	TUCATINIB	4.0	5.09	480.53
CHEMBL1173655	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	ULXXDDBFHOBEHA-CWDCEQMOSA-N	AFATINIB	4.0	4.39	485.95
CHEMBL1289601	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O	WOSKHXYHFSIKNG-UHFFFAOYSA-N	LENVATINIB	4.0	4.07	426.86
CHEMBL587723	CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1	OONFNUWBHFSNBT-HXUWFJFHSA-N	AEE-788	2.0	4.94	440.60
