compound_id	canonical_smiles	inchikey	pref_name	max_phase	alogp	mw
CHEMBL415049	CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O	GBJVVSCPOBPEIT-UHFFFAOYSA-N	BARASERTIB	3.0	3.62	587.55
CHEMBL1738797	CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O	KDGFLJKFZUIJMX-UHFFFAOYSA-N	ALECTINIB	4.0	4.77	482.63
CHEMBL4084193						
CHEMBL3408248	C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12	LMJFJIDLEAWOQJ-CQSZACIVSA-N	AZD-8186	1.0	3.78	457.48
CHEMBL608533	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	BMGQWWVMWDBQGC-IIFHNQTCSA-N	MIDOSTAURIN	4.0	5.91	570.65
CHEMBL31965	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1	OMZCMEYTWSXEPZ-UHFFFAOYSA-N	CANERTINIB	3.0	4.39	485.95
CHEMBL2107832	O=C(NC[C@H](O)CO)c1ccncc1Nc1ccc(I)cc1F	VIUAUNHCRHHYNE-JTQLQIEISA-N	PIMASERTIB	2.0	1.65	431.20
CHEMBL14762	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	BTIHMVBBUGXLCJ-OAHLLOKOSA-N	SELICICLIB	2.0	3.20	354.46
CHEMBL2048872	N[C@@H]1CCCN(c2c(/C=C3\SC(=O)NC3=O)cccc2-c2ccccc2)C1	MCUJKPPARUPFJM-UWCCDQBKSA-N			3.61	379.49
CHEMBL2325741	NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2nc[nH]c3nccc2-3)CC1	JDUBGYFRJFOXQC-KRWDZBQOSA-N	CAPIVASERTIB	4.0	2.10	428.92
CHEMBL2376648	C[C@@H](Oc1cc(C(=O)Nc2ccc(C(=O)N3CCN(C)CC3)cc2)nnc1N)c1c(Cl)ccc(F)c1Cl	ONPGOSVDVDPBCY-CQSZACIVSA-N			4.28	547.42
CHEMBL1084546	CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O	MZDKLVOWGIOKTN-UHFFFAOYSA-N	PF-00562271	1.0	3.14	507.50
CHEMBL3545076	Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc3[nH]ncc23)CC1	FYXRSVDHGLUMHB-UHFFFAOYSA-N	LY-2584702	1.0	4.30	445.42
CHEMBL2103830	COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC	GKDRMWXFWHEQQT-UHFFFAOYSA-N	FOSTAMATINIB	4.0	3.09	580.47
CHEMBL2336325	CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1	JUSFANSTBFGBAF-IRXDYDNUSA-N	VISTUSERTIB	2.0	2.50	462.55
CHEMBL1091644	C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1	PKCDDUHJAFVJJB-VLZXCDOPSA-N	LINSITINIB	3.0	4.82	421.50
CHEMBL2035187	C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2	HWXVIOGONBBTBY-ONEGZZNKSA-N	PACRITINIB	4.0	4.47	472.59
CHEMBL475251	COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC	NHHQJBCNYHBUSI-UHFFFAOYSA-N	R-406	2.0	3.63	470.46
CHEMBL3188267	CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F	LIOLIMKSCNQPLV-UHFFFAOYSA-N	CAPMATINIB	4.0	3.43	412.43
CHEMBL553	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	AAKJLRGGTJKAMG-UHFFFAOYSA-N	ERLOTINIB	4.0	3.41	393.44
CHEMBL603469	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O	UIARLYUEJFELEN-LROUJFHJSA-N	LESTAURTINIB	3.0	3.47	439.47
CHEMBL572881	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21	RAHBGWKEPAQNFF-UHFFFAOYSA-N	MOTESANIB	3.0	4.04	373.46
CHEMBL2103842	C[C@@H]1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1	UWXSAYUXVSFDBQ-CYBMUJFWSA-N	VARLITINIB	2.0	5.25	466.95
CHEMBL3989914	COCCNCc1ccc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccc(F)cc5)cc4F)c3s2)nc1	YRCHYHRCBXNYNU-UHFFFAOYSA-N	GLESATINIB	2.0	6.22	619.72
CHEMBL1236962	COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F	CGBJSGAELGCMKE-UHFFFAOYSA-N	OMIPALISIB	2.0	4.84	505.51
CHEMBL1241855	COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(NCC(=O)O)c2)c(OC)c1	OWBFCJROIKNMGD-BQYQJAHWSA-N	RIGOSERTIB	3.0	2.80	451.50
CHEMBL2103851	S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1	FOFDIMHVKGYHRU-UHFFFAOYSA-N	AMUVATINIB	2.0	3.30	447.52
CHEMBL372764	CCCCCCCCCCCCCCCCCCOP(=O)([O-])OC1CC[N+](C)(C)CC1	SZFPYBIJACMNJV-UHFFFAOYSA-N	PERIFOSINE	3.0	6.99	461.67
CHEMBL462018	CN1N=C(N)c2cn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c3ncnc1c23	URLYINUFLXOMHP-HTVVRFAVSA-N	TRICIRIBINE PHOSPHATE	2.0	-1.77	400.29
CHEMBL377300	Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1	WCWUXEGQKLTGDX-LLVKDONJSA-N	BRIVANIB	3.0	3.52	370.38
CHEMBL483158	COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O	ZLHFILGSQDJULK-UHFFFAOYSA-N	ALISERTIB	3.0	5.75	518.93
CHEMBL1094408	COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2	SWTRIZHCIUWGAU-UHFFFAOYSA-N	NMS-1286937		1.58	448.53
CHEMBL1289926	CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1	RITAVMQDGBJQJZ-FMIVXFBMSA-N	AXITINIB	4.0	4.64	386.48
CHEMBL215152	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1	QYZOGCMHVIGURT-UHFFFAOYSA-N	DEFOSBARASERTIB	2.0	3.50	507.57
CHEMBL281948	COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	KOZFSFOOLUUIGY-SOLYNIJKSA-N	K-252A		3.66	467.48
CHEMBL3264002	CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F	LMMJFBMMJUMSJS-UHFFFAOYSA-N	AVUTOMETINIB	3.0	2.68	471.47
CHEMBL1908394	C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F	ZHJGWYRLJUCMRT-QGZVFWFLSA-N	GSK-461364	1.0	5.09	543.62
CHEMBL24828	COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1	UHTHHESEBZOYNR-UHFFFAOYSA-N	VANDETANIB	4.0	4.43	475.36
CHEMBL1944698	CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1	VXBAJLGYBMTJCY-NSCUHMNNSA-N	ZOTIRACICLIB	2.0	4.66	372.47
CHEMBL3544966	O=C1NC(=O)/C(=C/c2ccc3nccc(-c4ccncc4)c3c2)S1	QDITZBLZQQZVEE-YBEGLDIGSA-N	GSK-1059615	1.0	3.62	333.37
CHEMBL3991929	CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1.Cl	IYULGYKOHUAYCG-UHFFFAOYSA-N	Cerdulatinib Hydrochloride		1.37	482.01
CHEMBL482968	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1	BLQYVHBZHAISJM-CMDGGOBGSA-N	ENMD-2076	2.0	3.17	375.48
CHEMBL2138625	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1	ZAJXXUDARPGGOC-UHFFFAOYSA-N	AV-412 FREE BASE	1.0	4.67	507.01
CHEMBL564829	CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2	RXZMYLDMFYNEIM-UHFFFAOYSA-N	MILCICLIB	2.0	2.57	460.59
CHEMBL405130	COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC	HOZUXBLMYUPGPZ-UHFFFAOYSA-N	WHI-P131	1.0	3.10	297.31
CHEMBL2396661	Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1	STUWGJZDJHPWGZ-LBPRGKRZSA-N	ALPELISIB	4.0	3.84	441.48
CHEMBL223360	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1	MPVGZUGXCQEXTM-UHFFFAOYSA-N	LINIFANIB	3.0	4.90	375.41
CHEMBL488436	Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C	WJRRGYBTGDJBFX-UHFFFAOYSA-N	AZD-5438	1.0	3.38	371.47
CHEMBL1645462	Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12	LUJZZYWHBDHDQX-QFIPXVFZSA-N	AC-480	1.0	3.86	530.56
CHEMBL460702	CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1	VNBRGSXVFBYQNN-UHFFFAOYSA-N	BMS-777607	2.0	5.19	512.90
CHEMBL496102	COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1	HEAIZQNMNCHNFD-UHFFFAOYSA-N	AMG-208	2.0	3.93	383.41
CHEMBL3545110	CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1	RHXHGRAEPCAFML-UHFFFAOYSA-N	RIBOCICLIB	4.0	2.80	434.55
CHEMBL2030402	O=c1[nH]c([C@@H]2CCCN2)nc2c1oc1ccc(Cl)cc12	JJWLXRKVUJDJKG-VIFPVBQESA-N			2.75	289.72
CHEMBL558752	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21	YABJJWZLRMPFSI-UHFFFAOYSA-N	RAF-265	2.0	6.93	518.42
CHEMBL3544964	Cn1nccc1Nc1nccc(-c2ccn([C@H](CO)c3ccc(Cl)c(F)c3)c(=O)c2)n1	RZUOCXOYPYGSKL-GOSISDBHSA-N	RAVOXERTINIB	2.0	3.16	440.87
CHEMBL1079175	NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1	ULDXWLCXEDXJGE-UHFFFAOYSA-N	MK-2206	2.0	4.24	407.48
CHEMBL2041933	NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1	IAYGCINLNONXHY-LBPRGKRZSA-N	AZD-7762	1.0	2.53	362.43
CHEMBL1879463	Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	DACTOLISIB	3.0	5.89	469.55
CHEMBL3991931	C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1	KSUDUUBCXJUFRL-SFHVURJKSA-N			3.31	456.51
CHEMBL1088751	CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1	KCAJXIDMCNPGHZ-UHFFFAOYSA-N	PH-797804	2.0	4.43	477.31
CHEMBL3301612	COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1	CMJCXYNUCSMDBY-ZDUSSCGKSA-N	ENCORAFENIB	4.0	3.91	540.02
CHEMBL502835	COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1	XZXHXSATPCNXJR-ZIADKAODSA-N	NINTEDANIB	4.0	3.62	539.64
CHEMBL3039517	Cc1cnc(NC(=O)Nc2cc(Br)c(C)cc2OC[C@@H]2CNCCO2)cn1	SYYBDNPGDKKJDU-ZDUSSCGKSA-N	RABUSERTIB	2.0	2.87	436.31
CHEMBL2180604	Cc1cc(C(=O)Nc2cc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)ccc2C)n(C)n1	DZFZXPPHBWCXPQ-UHFFFAOYSA-N	TAK-593	1.0	3.47	445.48
CHEMBL124660	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1	UXXQOJXBIDBUAC-UHFFFAOYSA-N	TANDUTINIB	2.0	5.03	562.72
CHEMBL1236107	Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1	BCZUAADEACICHN-UHFFFAOYSA-N	SGX-523	1.0	3.22	359.42
CHEMBL400402	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12	AQSSMEORRLJZLU-UHFFFAOYSA-N			5.58	475.98
CHEMBL2017974	Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1	CWHUFRVAEUJCEF-UHFFFAOYSA-N	BUPARLISIB	3.0	1.81	410.40
CHEMBL483321	COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1	LLVZBTWPGQVVLW-SNAWJCMRSA-N	CP-724714	2.0	4.95	469.55
CHEMBL2216870	CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1	IFSDAJWBUCMOAH-HNNXBMFYSA-N	IDELALISIB	4.0	3.75	415.43
CHEMBL1336	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	MLDQJTXFUGDVEO-UHFFFAOYSA-N	SORAFENIB	4.0	5.55	464.83
CHEMBL3907479	Cc1nc2ccc(-n3ncc(C(=O)c4cc5ccccc5[nH]4)c3N)cc2[nH]1	BEMNJULZEQTDJY-UHFFFAOYSA-N	FGFR INHIBITOR DEBIO 1347	2.0	3.35	356.39
CHEMBL1976040	C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1	BKWJAKQVGHWELA-UHFFFAOYSA-N	ADAVOSERTIB	2.0	2.89	500.61
CHEMBL3544983	COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1	HVXKQKFEHMGHSL-QKDCVEJESA-N	TESEVATINIB	3.0	5.79	491.39
CHEMBL3699142	CCNC(=O)C#Cc1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN(C)C)cc1)c1ccccc1	FLBNLJLONKAPLR-DQSJHHFOSA-N			4.17	464.57
CHEMBL3137331	CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)S(C)(=O)=O)n2)cc1	FWLMVFUGMHIOAA-UHFFFAOYSA-N	DEFACTINIB	3.0	2.40	510.50
CHEMBL574737	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O	PBCZSGKMGDDXIJ-KRUBCLEUSA-N	UCN-01	2.0	3.84	482.54
CHEMBL1614766	O=C(NOCCO)c1cc(CN2OCCCC2=O)c(F)c(F)c1Nc1ccc(I)cc1F	FIMYFEGKMOCQKT-UHFFFAOYSA-N	RO-4987655	1.0	3.16	565.29
CHEMBL1952329	CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1	MHXGEROHKGDZGO-UHFFFAOYSA-N	SGI-1776	1.0	4.05	405.42
CHEMBL1908360	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	HKVAMNSJSFKALM-GKUWKFKPSA-N	EVEROLIMUS	4.0	6.20	958.24
CHEMBL101253	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1	YCOYDOIWSSHVCK-UHFFFAOYSA-N	VATALANIB	3.0	5.01	346.82
CHEMBL2219422	Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl	AFJRDFWMXUECEW-LBPRGKRZSA-N	AFURESERTIB	3.0	3.89	427.33
CHEMBL3120215	COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12	JROFGZPOBKIAEW-HAQNSBGRSA-N	OSI-027	2.0	3.22	406.45
CHEMBL3991935	CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H]1CO.Cl	OOVTUOCTLAERQD-OJMBIDBESA-N			3.30	438.31
CHEMBL2103882	O=C1NC(=O)[C@@H](c2cn3c4c(cccc24)CCC3)[C@@H]1c1c[nH]c2ccccc12	UCEQXRCJXIVODC-PMACEKPBSA-N	TIVANTINIB	3.0	3.59	369.42
CHEMBL206834	Cc1ccc(NC(=O)c2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1	ZGBAJMQHJDFTQJ-DEOSSOPVSA-N	BAFETINIB	2.0	5.39	576.63
CHEMBL3426621	C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12	QSKQVZWVLOIIEV-NSHDSACASA-N	RIPASUDIL	3.0	1.75	323.39
CHEMBL2403108	Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1	VERWOWGGCGHDQE-UHFFFAOYSA-N	CERITINIB	4.0	6.36	558.15
CHEMBL1234354	COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1	XDLYKKIQACFMJG-WKILWMFISA-N	PF-04691502	2.0	2.25	425.49
CHEMBL217092	CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1	OUKYUETWWIPKQR-UHFFFAOYSA-N	SARACATINIB	3.0	3.94	542.04
CHEMBL1090090	NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F	FYSRKRZDBHOFAY-UHFFFAOYSA-N	VX-702	2.0	3.62	404.32
CHEMBL3039525	CN1CCN(C2CCN(C(=O)Nc3cc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1	UQRCJCNVNUFYDX-UHFFFAOYSA-N	GOLVATINIB	2.0	4.75	633.70
CHEMBL189963	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O	AHJRHEGDXFFMBM-UHFFFAOYSA-N	PALBOCICLIB	4.0	2.97	447.54
CHEMBL1233300	O=S(=O)(c1cccc2c(O)nccc12)N1CCCNCC1	ZAVGJDAFCZAWSZ-UHFFFAOYSA-N	HYDROXYFASUDIL		0.92	307.38
CHEMBL402548	CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1	XKFTZKGMDDZMJI-HSZRJFAPSA-N	DANUSERTIB	2.0	2.64	474.57
CHEMBL3813873	FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1	JGWRKYUXBBNENE-UHFFFAOYSA-N	PEXIDARTINIB	4.0	5.23	417.82
CHEMBL3545366	CCn1c(=O)c(-c2cc[nH]n2)cc2c(C)nc(N)nc21	RGHYDLZMTYDBDT-UHFFFAOYSA-N	VOXTALISIB	2.0	1.09	270.30
CHEMBL3545307	Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1	QHADVLVFMKEIIP-UHFFFAOYSA-N	MERESTINIB	2.0	5.75	552.54
CHEMBL1171837	Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12	PHXJVRSECIGDHY-UHFFFAOYSA-N	PONATINIB	4.0	4.46	532.57
CHEMBL3991927	COc1ccc(S(=O)(=O)N(C(C)=O)c2ccccc2/C=C/c2cc[n+]([O-])cc2)cc1	OCKHRKSTDPOHEN-BQYQJAHWSA-N	HMN-214	1.0	3.24	424.48
CHEMBL2087361	C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1	QQLKULDARVNMAL-UHFFFAOYSA-N	ICOTINIB	3.0	3.16	391.43
CHEMBL274654	Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O	NHFDRBXTEDBWCZ-ZROIWOOFSA-N	ORANTINIB	3.0	3.14	310.35
CHEMBL565612	CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1	OAVGBZOFDPFGPJ-UHFFFAOYSA-N	SOTRASTAURIN	2.0	2.43	438.49
CHEMBL3109738	COc1cc2ncnc3c2cc1OCCCCCN(C)Cc1ccc(Br)cc1N3	JXDYOSVKVSQGJM-UHFFFAOYSA-N	JNJ-26483327	1.0	5.14	457.37
CHEMBL1950289	O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1	IBGLGMOPHJQDJB-IHRRRGAJSA-N	TANZISERTIB	2.0	3.66	448.45
CHEMBL1231124	Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1	PDOQBOJDRPLBQU-QMMMGPOBSA-N	AZD-1480	2.0	3.01	348.77
CHEMBL3188551	Cc1c(Cn2c(C)nc3c(C(=O)O)cc(N4CCOCC4)cc32)cccc1C(F)(F)F	XTKLTGBKIDQGQL-UHFFFAOYSA-N	GSK-2636771	2.0	4.26	433.43
CHEMBL3545396	COc1cccc(Nc2ncnn3ccc(CN4CC[C@@H](N)[C@H](O)C4)c23)c1	CSGQVNMSRKWUSH-IAGOWNOFSA-N	BMS-690514	2.0	1.38	368.44
CHEMBL1667969	O=c1[nH]ccc2cc(OC3CCNCC3)ccc12	IPEXHQGMTHOKQV-UHFFFAOYSA-N	SAR-407899 FREE BASE	2.0	1.66	244.29
CHEMBL38380	O=S(=O)(c1cccc2cnccc12)N1CCCNCC1	NGOGFTYYXHNFQH-UHFFFAOYSA-N	FASUDIL	3.0	1.22	291.38
CHEMBL514201	C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)c1cc2c(C(=O)C(=O)N(C)C)cn(C)c2cc1Cl	ZMELOYOKMZBMRB-DLBZAZTESA-N	TALMAPIMOD	2.0	3.98	513.01
CHEMBL1287853	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1	JOOXLOJCABQBSG-UHFFFAOYSA-N	FEDRATINIB	4.0	4.82	524.69
CHEMBL1289494	COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC	SPMVMDHWKHCIDT-UHFFFAOYSA-N	TIVOZANIB	4.0	5.64	454.87
CHEMBL521851	CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	LHNIIDJUOCFXAP-UHFFFAOYSA-N	PICTILISIB	2.0	2.15	513.65
CHEMBL2364611	Cc1cccc(-c2nn3c(c2-c2ccnc4ccc(C(N)=O)cc24)CCC3)n1	IVRXNBXKWIJUQB-UHFFFAOYSA-N	GALUNISERTIB	2.0	3.51	369.43
CHEMBL1230607	CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C	HUXYBQXJVXOMKX-UHFFFAOYSA-N	PHA-793887	1.0	2.31	361.49
CHEMBL2323775	Cn1cc(-c2cnc3ccc4ccc(CS(=O)(=O)NCc5ccccn5)cc4c(=O)c3c2)cn1	VMJFTOSOFDEKTM-UHFFFAOYSA-N	MK-8033	1.0	3.16	471.54
CHEMBL221959	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12	UJLAWZDWDVHWOW-YPMHNXCESA-N	TOFACITINIB	4.0	1.54	312.38
CHEMBL3545308	C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1	HUFOZJXAKZVRNJ-UHFFFAOYSA-N	ROCILETINIB	3.0	4.78	555.56
CHEMBL2001019	OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1	PDMUGYOXRHVNMO-UHFFFAOYSA-N	PF-04217903	1.0	1.67	372.39
CHEMBL535	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C	WINHZLLDWRZWRT-ATVHPVEESA-N	SUNITINIB	4.0	3.33	398.48
CHEMBL91829	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1	ZCBUQCWBWNUWSU-SFHVURJKSA-N	RUBOXISTAURIN	3.0	3.51	468.56
