compound_id	target_chembl_id	protein_id	standard_type	standard_relation	standard_value	standard_units	pchembl_value	assay_type	assay_chembl_id	target_organism	data_validity_comment	activity_comment
CHEMBL514201	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1287853	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1289494	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL521851	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2364611	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1230607	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2323775	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL221959	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3545308	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2001019	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL535	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL91829	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL513909	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3990456	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2133806	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1789941	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL554	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3187723	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1614701	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1822792	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2146883	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2140408	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL411907	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL384304	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2103840	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL230011	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL4294164	CHEMBL1741190	RAN	Ratio	=	1.535			B	CHEMBL4270835	Homo sapiens		
CHEMBL5653589	CHEMBL1741190	RAN	Kd	=	115.89	nM	6.94	B	CHEMBL5652231	Homo sapiens		
CHEMBL5653589	CHEMBL1741190	RAN	ED50	=	115.89	nM	6.94	B	CHEMBL5652231	Homo sapiens		
CHEMBL3752910	CHEMBL1741190	RAN	Kd	=	4291.73	nM	5.37	B	CHEMBL5652231	Homo sapiens		
CHEMBL3752910	CHEMBL1741190	RAN	ED50	=	4291.73	nM	5.37	B	CHEMBL5652231	Homo sapiens		
CHEMBL1232461	CHEMBL1741190	RAN	FC	=	0.672			B	CHEMBL5697786	Homo sapiens		
CHEMBL1232461	CHEMBL1741190	RAN	FC	=	0.424			B	CHEMBL5698486	Homo sapiens		
CHEMBL1232461	CHEMBL1741190	RAN	FC	=	0.974			B	CHEMBL5699186	Homo sapiens		
CHEMBL1232461	CHEMBL1741190	RAN	FC	=	0.728			B	CHEMBL5699886	Homo sapiens		
CHEMBL1232461	CHEMBL1741190	RAN	FC	=	0.896			B	CHEMBL5700586	Homo sapiens		
CHEMBL1232461	CHEMBL1741190	RAN	IC50	>	10000.0	nM		B	CHEMBL5701286	Homo sapiens		
CHEMBL1221911	CHEMBL1795120	EEF1A1	Inhibition			%		B	CHEMBL1228364	Homo sapiens		
CHEMBL123292	CHEMBL1795120	EEF1A1	Inhibition			%		B	CHEMBL1228364	Homo sapiens		
CHEMBL1221911	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL1228365	Homo sapiens		
CHEMBL2303630	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL1228365	Homo sapiens		
CHEMBL1802814	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL1805138	Homo sapiens		
CHEMBL1802815	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL1805138	Homo sapiens		
CHEMBL1802814	CHEMBL1795120	EEF1A1	Kd	=	3.74	nM	8.43	B	CHEMBL1805291	Homo sapiens		
CHEMBL1802815	CHEMBL1795120	EEF1A1	Kd	=	8.15	nM	8.09	B	CHEMBL1805291	Homo sapiens		
CHEMBL1802973	CHEMBL1795120	EEF1A1	Kd	=	57.2	nM	7.24	B	CHEMBL1805291	Homo sapiens		
CHEMBL3799977	CHEMBL1795120	EEF1A1	FC	=	12.0			B	CHEMBL3803738	Homo sapiens		
CHEMBL4066032	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL4024027	Homo sapiens		
CHEMBL4066032	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL4024030	Homo sapiens		
CHEMBL4095101	CHEMBL1795120	EEF1A1	Activity					B	CHEMBL4024030	Homo sapiens		
CHEMBL4097524	CHEMBL1795120	EEF1A1	Ka	=	2.536	10'6/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4070348	CHEMBL1795120	EEF1A1	Ka	=	1.029	10'7/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4094319	CHEMBL1795120	EEF1A1	Ka	=	2.899	10'6/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4072881	CHEMBL1795120	EEF1A1	Ka	=	6.796	10'6/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4067648	CHEMBL1795120	EEF1A1	Ka	=	5.297	10'6/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4088864	CHEMBL1795120	EEF1A1	Ka	=	1.809	10'7/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4105227	CHEMBL1795120	EEF1A1	Ka					B	CHEMBL4024033	Homo sapiens		Not Active
CHEMBL514569	CHEMBL1795120	EEF1A1	Ka	=	1.268	10'7/M		B	CHEMBL4024033	Homo sapiens		
CHEMBL4294164	CHEMBL1795120	EEF1A1	Ratio	=	0.629			B	CHEMBL4270827	Homo sapiens		
CHEMBL1232461	CHEMBL1795120	EEF1A1	FC	=	0.825			B	CHEMBL5697473	Homo sapiens		
CHEMBL1232461	CHEMBL1795120	EEF1A1	FC	=	1.0			B	CHEMBL5698173	Homo sapiens		
CHEMBL1232461	CHEMBL1795120	EEF1A1	FC	=	0.995			B	CHEMBL5698873	Homo sapiens		
CHEMBL1232461	CHEMBL1795120	EEF1A1	FC	=	0.951			B	CHEMBL5699573	Homo sapiens		
CHEMBL1232461	CHEMBL1795120	EEF1A1	FC	=	0.872			B	CHEMBL5700273	Homo sapiens		
CHEMBL1232461	CHEMBL1795120	EEF1A1	IC50	>=	10000.0	nM		B	CHEMBL5700973	Homo sapiens		
CHEMBL1802814	CHEMBL1795122	EEF1A2	Kd	=	4.89	nM	8.31	B	CHEMBL1805281	Homo sapiens		
CHEMBL1802815	CHEMBL1795122	EEF1A2	Kd	=	2.43	nM	8.61	B	CHEMBL1805281	Homo sapiens		
CHEMBL1802973	CHEMBL1795122	EEF1A2	Kd	=	4.54	nM	8.34	B	CHEMBL1805281	Homo sapiens		
CHEMBL1802973	CHEMBL1795122	EEF1A2	Inhibition			%		B	CHEMBL1805284	Homo sapiens		Dose-dependent effect
CHEMBL1802973	CHEMBL1795122	EEF1A2	Inhibition			%		B	CHEMBL1805285	Homo sapiens		Dose-dependent effect
CHEMBL1802973	CHEMBL1795122	EEF1A2	Inhibition			%		B	CHEMBL1805286	Homo sapiens		Dose-dependent effect
CHEMBL1802973	CHEMBL1795122	EEF1A2	Inhibition			%		B	CHEMBL1805287	Homo sapiens		Dose-dependent effect
CHEMBL1802973	CHEMBL1795122	EEF1A2	Inhibition			%		B	CHEMBL1805288	Homo sapiens		
CHEMBL1802973	CHEMBL1795122	EEF1A2	Inhibition			%		B	CHEMBL1805289	Homo sapiens		
CHEMBL5653589	CHEMBL1795122	EEF1A2	Kd	=	412.41	nM	6.38	B	CHEMBL5650978	Homo sapiens		
CHEMBL5653589	CHEMBL1795122	EEF1A2	ED50	=	412.41	nM	6.38	B	CHEMBL5650978	Homo sapiens		
CHEMBL4062193	CHEMBL4105790	PAPSS2	EC50	>	10000.0	nM		B	CHEMBL4036829	Homo sapiens		
CHEMBL4101680	CHEMBL4105790	PAPSS2	EC50	>	10000.0	nM		B	CHEMBL4036829	Homo sapiens		
CHEMBL4093377	CHEMBL4105790	PAPSS2	EC50	>	10000.0	nM		B	CHEMBL4036829	Homo sapiens		
CHEMBL4129274	CHEMBL4105790	PAPSS2	Activity					B	CHEMBL4118716	Homo sapiens		
CHEMBL4294164	CHEMBL4295731	EEF1B2	Ratio	=	0.525			B	CHEMBL4270828	Homo sapiens		
CHEMBL5653589	CHEMBL4295731	EEF1B2	Kd	=	661.51	nM	6.18	B	CHEMBL5650977	Homo sapiens		
CHEMBL5653589	CHEMBL4295731	EEF1B2	ED50	=	661.51	nM	6.18	B	CHEMBL5650977	Homo sapiens		
CHEMBL4129274	CHEMBL4295735	EEF1G	Activity					B	CHEMBL4119049	Homo sapiens		
CHEMBL4294164	CHEMBL4295735	EEF1G	Ratio	=	0.536			B	CHEMBL4270830	Homo sapiens		
CHEMBL5653589	CHEMBL4295735	EEF1G	Kd	=	0.491	nM	9.31	B	CHEMBL5651330	Homo sapiens		
CHEMBL5653589	CHEMBL4295735	EEF1G	ED50	=	0.491	nM	9.31	B	CHEMBL5651330	Homo sapiens		
CHEMBL3752910	CHEMBL4295735	EEF1G	Kd	=	11.42	nM	7.94	B	CHEMBL5651330	Homo sapiens		
CHEMBL3752910	CHEMBL4295735	EEF1G	ED50	=	11.42	nM	7.94	B	CHEMBL5651330	Homo sapiens		
CHEMBL1232461	CHEMBL4295735	EEF1G	FC	=	0.618			B	CHEMBL5697586	Homo sapiens		
CHEMBL1232461	CHEMBL4295735	EEF1G	FC	=	0.601			B	CHEMBL5698286	Homo sapiens		
CHEMBL1232461	CHEMBL4295735	EEF1G	FC	=	0.728			B	CHEMBL5698986	Homo sapiens		
CHEMBL1232461	CHEMBL4295735	EEF1G	FC	=	0.675			B	CHEMBL5699686	Homo sapiens		
CHEMBL1232461	CHEMBL4295735	EEF1G	FC	=	0.793			B	CHEMBL5700386	Homo sapiens		
CHEMBL1232461	CHEMBL4295735	EEF1G	IC50	=	4300.0	nM	5.37	B	CHEMBL5701086	Homo sapiens		
CHEMBL4294164	CHEMBL4295739	EEF1D	Ratio	=	0.622			B	CHEMBL4270829	Homo sapiens		
CHEMBL5653589	CHEMBL4295739	EEF1D	Kd	=	53.79	nM	7.27	B	CHEMBL5651328	Homo sapiens		
CHEMBL5653589	CHEMBL4295739	EEF1D	ED50	=	53.79	nM	7.27	B	CHEMBL5651328	Homo sapiens		
CHEMBL3752910	CHEMBL4295739	EEF1D	Kd	=	1737.36	nM	5.76	B	CHEMBL5651328	Homo sapiens		
CHEMBL3752910	CHEMBL4295739	EEF1D	ED50	=	1737.36	nM	5.76	B	CHEMBL5651328	Homo sapiens		
CHEMBL1232461	CHEMBL4295739	EEF1D	FC	=	0.454			B	CHEMBL5697524	Homo sapiens		
CHEMBL1232461	CHEMBL4295739	EEF1D	FC	=	0.698			B	CHEMBL5698224	Homo sapiens		
CHEMBL1232461	CHEMBL4295739	EEF1D	FC	=	0.924			B	CHEMBL5698924	Homo sapiens		
CHEMBL1232461	CHEMBL4295739	EEF1D	FC	=	0.649			B	CHEMBL5699624	Homo sapiens		
CHEMBL1232461	CHEMBL4295739	EEF1D	FC	=	0.67			B	CHEMBL5700324	Homo sapiens		
CHEMBL1232461	CHEMBL4295739	EEF1D	IC50	=	5680.0	nM	5.25	B	CHEMBL5701024	Homo sapiens		
CHEMBL50	CHEMBL5869	HSF1	Activity					B	CHEMBL993711	Homo sapiens		
CHEMBL50	CHEMBL5869	HSF1	Activity					B	CHEMBL993712	Homo sapiens		
CHEMBL557848	CHEMBL5869	HSF1	EC50	=	49.0	%		B	CHEMBL1051570	Homo sapiens		
CHEMBL549777	CHEMBL5869	HSF1	EC50					B	CHEMBL1060467	Homo sapiens		
CHEMBL564153	CHEMBL5869	HSF1	EC50					B	CHEMBL1060467	Homo sapiens		
CHEMBL549776	CHEMBL5869	HSF1	EC50					B	CHEMBL1060467	Homo sapiens		
CHEMBL559728	CHEMBL5869	HSF1	EC50					B	CHEMBL1060467	Homo sapiens		
CHEMBL554519	CHEMBL5869	HSF1	EC50					B	CHEMBL1060467	Homo sapiens		
CHEMBL551320	CHEMBL5869	HSF1	EC50					B	CHEMBL1060467	Homo sapiens		
CHEMBL562911	CHEMBL5869	HSF1	EC50					B	CHEMBL1060467	Homo sapiens		
CHEMBL559530	CHEMBL5869	HSF1	EC50					B	CHEMBL1060467	Homo sapiens		
CHEMBL569598	CHEMBL5869	HSF1	EC50					B	CHEMBL1060467	Homo sapiens		
CHEMBL551057	CHEMBL5869	HSF1	EC50	=	12100.0	nM	4.92	B	CHEMBL1060467	Homo sapiens		
CHEMBL551056	CHEMBL5869	HSF1	EC50	=	41600.0	nM	4.38	B	CHEMBL1060467	Homo sapiens		
CHEMBL561378	CHEMBL5869	HSF1	EC50	=	42900.0	nM	4.37	B	CHEMBL1060467	Homo sapiens		
CHEMBL562322	CHEMBL5869	HSF1	EC50	=	22900.0	nM	4.64	B	CHEMBL1060467	Homo sapiens		
CHEMBL564420	CHEMBL5869	HSF1	EC50	=	20900.0	nM	4.68	B	CHEMBL1060467	Homo sapiens		
CHEMBL550653	CHEMBL5869	HSF1	EC50	=	31000.0	nM	4.51	B	CHEMBL1060467	Homo sapiens		
CHEMBL564701	CHEMBL5869	HSF1	EC50	=	41600.0	nM	4.38	B	CHEMBL1060467	Homo sapiens		
CHEMBL569836	CHEMBL5869	HSF1	EC50	=	18500.0	nM	4.73	B	CHEMBL1060467	Homo sapiens		
CHEMBL550509	CHEMBL5869	HSF1	EC50	=	20200.0	nM	4.70	B	CHEMBL1060467	Homo sapiens		
CHEMBL551996	CHEMBL5869	HSF1	EC50	=	29400.0	nM	4.53	B	CHEMBL1060467	Homo sapiens		
CHEMBL570768	CHEMBL5869	HSF1	EC50	=	51300.0	nM	4.29	B	CHEMBL1060467	Homo sapiens		
CHEMBL561059	CHEMBL5869	HSF1	EC50					B	CHEMBL1060467	Homo sapiens		
CHEMBL559343	CHEMBL5869	HSF1	EC50					B	CHEMBL1060467	Homo sapiens		
CHEMBL564532	CHEMBL5869	HSF1	EC50	=	12400.0	nM	4.91	B	CHEMBL1060467	Homo sapiens		
CHEMBL560380	CHEMBL5869	HSF1	EC50	=	22800.0	nM	4.64	B	CHEMBL1060467	Homo sapiens		
CHEMBL561724	CHEMBL5869	HSF1	EC50	=	28700.0	nM	4.54	B	CHEMBL1060467	Homo sapiens		
CHEMBL2021570	CHEMBL5869	HSF1	EC50	=	31900.0	nM	4.50	B	CHEMBL1060467	Homo sapiens		
CHEMBL2021569	CHEMBL5869	HSF1	EC50	=	28600.0	nM	4.54	B	CHEMBL1060467	Homo sapiens		
CHEMBL549495	CHEMBL5869	HSF1	EC50	=	24100.0	nM	4.62	B	CHEMBL1060467	Homo sapiens		
CHEMBL554525	CHEMBL5869	HSF1	EC50	=	16600.0	nM	4.78	B	CHEMBL1060467	Homo sapiens		
CHEMBL558309	CHEMBL5869	HSF1	EC50	=	25500.0	nM	4.59	B	CHEMBL1060467	Homo sapiens		
CHEMBL549427	CHEMBL5869	HSF1	EC50	=	23000.0	nM	4.64	B	CHEMBL1060467	Homo sapiens		
CHEMBL560657	CHEMBL5869	HSF1	EC50	=	20900.0	nM	4.68	B	CHEMBL1060467	Homo sapiens		
CHEMBL552321	CHEMBL5869	HSF1	EC50	=	23900.0	nM	4.62	B	CHEMBL1060467	Homo sapiens		
CHEMBL552320	CHEMBL5869	HSF1	EC50	=	27100.0	nM	4.57	B	CHEMBL1060467	Homo sapiens		
CHEMBL557917	CHEMBL5869	HSF1	EC50	=	32400.0	nM	4.49	B	CHEMBL1060467	Homo sapiens		
CHEMBL561119	CHEMBL5869	HSF1	EC50	=	17400.0	nM	4.76	B	CHEMBL1060467	Homo sapiens		
CHEMBL570771	CHEMBL5869	HSF1	EC50	=	52600.0	nM	4.28	B	CHEMBL1060467	Homo sapiens		
CHEMBL557507	CHEMBL5869	HSF1	EC50					B	CHEMBL1060467	Homo sapiens		
CHEMBL550790	CHEMBL5869	HSF1	EC50	=	62800.0	nM	4.20	B	CHEMBL1060467	Homo sapiens		
CHEMBL552259	CHEMBL5869	HSF1	EC50	=	52600.0	nM	4.28	B	CHEMBL1060467	Homo sapiens		
CHEMBL550179	CHEMBL5869	HSF1	EC50	=	41700.0	nM	4.38	B	CHEMBL1060467	Homo sapiens		
CHEMBL550179	CHEMBL5869	HSF1	AC50	=	5.6	%		B	CHEMBL1060469	Homo sapiens		
CHEMBL550179	CHEMBL5869	HSF1	Activity	=	58.0	%		B	CHEMBL1060467	Homo sapiens		
CHEMBL552259	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL550790	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL557507	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL551918	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL557848	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL570771	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL561119	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL557917	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL552320	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL552321	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL560657	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL549427	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL558309	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL554525	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL549837	CHEMBL5869	HSF1	Activity					B	CHEMBL1060467	Homo sapiens		
CHEMBL549837	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL549495	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL2021569	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL2021570	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL561724	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL560380	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL564532	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL560858	CHEMBL5869	HSF1	Activity					B	CHEMBL1060467	Homo sapiens		
CHEMBL560858	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL559343	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL561059	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL551995	CHEMBL5869	HSF1	Activity					B	CHEMBL1060467	Homo sapiens		
CHEMBL551995	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL570768	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL551996	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL550509	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL569836	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL564701	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL550653	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL564420	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL562322	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL561378	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL551056	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL551057	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL569598	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL559530	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL562911	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL551320	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL554519	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL559728	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL549776	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL564153	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL549777	CHEMBL5869	HSF1	Activity					B	CHEMBL1060469	Homo sapiens		
CHEMBL549837	CHEMBL5869	HSF1	EC50	=	62.0	%		B	CHEMBL1051570	Homo sapiens		
CHEMBL549837	CHEMBL5869	HSF1	EC50	=	25.0	%		B	CHEMBL1051570	Homo sapiens		
CHEMBL551995	CHEMBL5869	HSF1	EC50	=	28.0	%		B	CHEMBL1051570	Homo sapiens		
CHEMBL551918	CHEMBL5869	HSF1	EC50	=	63.0	%		B	CHEMBL1051570	Homo sapiens		
CHEMBL555689	CHEMBL5869	HSF1	EC50	=	5100.0	nM	5.29	B	CHEMBL1063219	Homo sapiens		
CHEMBL570772	CHEMBL5869	HSF1	EC50	=	17300.0	nM	4.76	B	CHEMBL1063219	Homo sapiens		
CHEMBL558247	CHEMBL5869	HSF1	EC50	=	11600.0	nM	4.94	B	CHEMBL1063219	Homo sapiens		
CHEMBL556491	CHEMBL5869	HSF1	EC50	=	16800.0	nM	4.78	B	CHEMBL1063219	Homo sapiens		
CHEMBL559594	CHEMBL5869	HSF1	EC50	=	8600.0	nM	5.07	B	CHEMBL1063219	Homo sapiens		
CHEMBL564799	CHEMBL5869	HSF1	EC50	=	9900.0	nM	5.00	B	CHEMBL1063219	Homo sapiens		
CHEMBL561125	CHEMBL5869	HSF1	EC50	=	10000.0	nM	5.00	B	CHEMBL1063219	Homo sapiens		
CHEMBL559595	CHEMBL5869	HSF1	EC50	=	46300.0	nM	4.33	B	CHEMBL1063219	Homo sapiens		
CHEMBL553924	CHEMBL5869	HSF1	EC50	=	20600.0	nM	4.69	B	CHEMBL1063219	Homo sapiens		
CHEMBL562794	CHEMBL5869	HSF1	EC50	=	10100.0	nM	5.00	B	CHEMBL1063219	Homo sapiens		
CHEMBL541255	CHEMBL5869	HSF1	EC50	=	35000.0	nM	4.46	B	CHEMBL1063219	Homo sapiens		
CHEMBL550516	CHEMBL5869	HSF1	EC50	=	24700.0	nM	4.61	B	CHEMBL1063219	Homo sapiens		
CHEMBL551602	CHEMBL5869	HSF1	EC50	=	14900.0	nM	4.83	B	CHEMBL1063219	Homo sapiens		
CHEMBL551807	CHEMBL5869	HSF1	EC50	=	39800.0	nM	4.40	B	CHEMBL1063219	Homo sapiens		
CHEMBL560663	CHEMBL5869	HSF1	EC50	=	7700.0	nM	5.11	B	CHEMBL1063219	Homo sapiens		
CHEMBL550249	CHEMBL5869	HSF1	EC50	=	2100.0	nM	5.68	B	CHEMBL1063219	Homo sapiens		
CHEMBL557716	CHEMBL5869	HSF1	EC50	=	40800.0	nM	4.39	B	CHEMBL1063219	Homo sapiens		
CHEMBL558033	CHEMBL5869	HSF1	EC50	=	2500.0	nM	5.60	B	CHEMBL1063219	Homo sapiens		
CHEMBL564316	CHEMBL5869	HSF1	EC50	=	2500.0	nM	5.60	B	CHEMBL1063219	Homo sapiens		
CHEMBL559039	CHEMBL5869	HSF1	EC50	=	2500.0	nM	5.60	B	CHEMBL1063219	Homo sapiens		
CHEMBL550251	CHEMBL5869	HSF1	EC50	=	1300.0	nM	5.89	B	CHEMBL1063219	Homo sapiens		
CHEMBL565134	CHEMBL5869	HSF1	EC50	=	4100.0	nM	5.39	B	CHEMBL1063219	Homo sapiens		
CHEMBL563049	CHEMBL5869	HSF1	EC50	=	14000.0	nM	4.85	B	CHEMBL1063219	Homo sapiens		
CHEMBL570073	CHEMBL5869	HSF1	EC50	=	14800.0	nM	4.83	B	CHEMBL1063219	Homo sapiens		
CHEMBL561266	CHEMBL5869	HSF1	EC50					B	CHEMBL1063219	Homo sapiens		
CHEMBL301982	CHEMBL5869	HSF1	EC50	=	1100.0	nM	5.96	B	CHEMBL1063219	Homo sapiens		
CHEMBL561265	CHEMBL5869	HSF1	Activity	=	25.0	%		B	CHEMBL1063232	Homo sapiens		
CHEMBL555689	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
CHEMBL570772	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
CHEMBL558247	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
CHEMBL556491	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
CHEMBL559594	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
CHEMBL564799	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
CHEMBL561125	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
CHEMBL559595	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
CHEMBL553924	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
CHEMBL562794	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
CHEMBL541255	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
CHEMBL550516	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
CHEMBL551602	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
CHEMBL551807	CHEMBL5869	HSF1	Activity					B	CHEMBL1063218	Homo sapiens		
