compound_id	target_chembl_id	protein_id	standard_type	standard_relation	standard_value	standard_units	pchembl_value	assay_type	assay_chembl_id	target_organism	data_validity_comment	activity_comment
CHEMBL2103875	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2028663	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3186534	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2165191	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3301607	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL4289017	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1983268	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3545083	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1801204	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2079588	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL575448	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1078178	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL180022	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1201182	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1230165	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3128043	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1229517	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL495727	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3545215	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1922094	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3991932	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3544960	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1946170	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3544932	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL5416410	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1090479	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2103839	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3039513	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3545154	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3218575	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3545360	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1721885	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2105717	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1088752	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL477772	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3184679	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3991934	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL571948	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL428690	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2105759	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1738757	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1614710	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2029988	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3991933	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL551064	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1908391	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1615025	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL941	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2105728	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2220486	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL445813	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL939	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL283120	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3545157	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3590106	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3218578	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3301610	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL253969	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL415049	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1738797	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL4084193	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3408248	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL608533	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
