stitch_chemical	stitch_name	molecular_weight	stitch_smiles	compound_id	pubchem_cid
CIDs00015541	spectinomycin	332.34956	CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O	CHEMBL1167	15541
CIDs00019648	streptomycin	1457.38356	CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O.CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O	CHEMBL3184791	19648
CIDs00022497	phosphinate	63.980502	OP=O	CHEMBL2105054	22497
CIDs00023931	mercury	200.59	[Hg]	PUBCHEM:23931	23931
CIDs00023977	cobalt	117.86639	[Co].[Co]	PUBCHEM:23977	23977
CIDs00023994	Zn(II	65.38	[Zn]	CHEMBL1411246	23994
CIDs00024424	ZnSO4	161.4426	[O-]S(=O)(=O)[O-].[Zn+2]	CHEMBL1200929	24424
CIDs00024470	silver nitrate	169.8731	[N+](=O)([O-])[O-].[Ag+]	CHEMBL177367	24470
CIDs00033032	glutamic acid	147.12926	C(CC(=O)O)C(C(=O)O)N	CHEMBL1255943	33032
CIDs00033113	AMP-PNP	506.196266	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O	CHEMBL1230989	33113
CIDs00036735	Gpp(NH)p	522.195666	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O)NC(=NC2=O)N	CHEMBL1233085	36735
CIDs00062551	pentaethylene glycol	238.27808	C(COCCOCCOCCOCCO)O	CHEMBL1229766	62551
CIDs00064730	glucans	372.2794	C(C(C(C(C(C=O)O)O)O)O)O.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	PUBCHEM:64730	64730
CIDs00065359	GSSG	612.63108	C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N	CHEMBL1372	65359
CIDs00065482	sinefungin	381.38702	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CC(CCC(C(=O)O)N)N)O)O	CHEMBL1214186	65482
CIDs00065911	Girodazole	190.63074	C1=C(NC(=N1)N)C(C(CN)Cl)O	CHEMBL1171272	65911
CIDs00068841	phospho-serine	185.072482	C(C(C(=O)O)N)OP(=O)(O)O	CHEMBL284377	68841
CIDs00072332	NSC 141633	545.62126	CC(C)(CCCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O	PUBCHEM:72332	72332
CIDs00077990	rivastigmine	400.42352	CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C.C(C(C(=O)O)O)(C(=O)O)O	CHEMBL215645	77990
CIDs00078165	2-(N-morpholino)ethanesulfonic acid	195.23672	C1COCCN1CCS(=O)(=O)O	CHEMBL1234276	78165
CIDs00082127	potassium hydride	40.10624	[H-].[K+]	PUBCHEM:82127	82127
CIDs00083606	strontium hydride	89.63588	[H-].[H-].[Sr+2]	PUBCHEM:83606	83606
CIDs00084265	GalNAc alpha	221.2078	CC(=O)NC1C(C(C(OC1O)CO)O)O	PUBCHEM:84265	84265
CIDs00087642	coenzyme A	767.534126	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O	CHEMBL1213327	87642
CIDs00092851	D-Cys	121.15818	C(C(C(=O)O)N)S	CHEMBL171281	92851
