stitch_chemical	stitch_name	molecular_weight	stitch_smiles	compound_id	pubchem_cid
CIDs04878136	ksc-8-87	276.4004	CCNC1=NN=C(CS1)C2=C(N(C(=C2)C)CC=C)C	CHEMBL1573994	4878136
CIDs05057111	AC1NMU2T	420.29698	CC1=CC(=C(N1CC2CCCO2)C)C(=O)COC(=O)C3=CC=CC=C3Br	CHEMBL1597561	5057111
CIDs05287712	atrazine-glutathione conjugate	486.5458	CCNC1=NC(=NC(=N1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)NC(C)C	PUBCHEM:5287712	5287712
CIDs05287987	L-Capreomycidine	172.18508	C1CN=C(NC1C(C(=O)O)N)N	PUBCHEM:5287987	5287987
CIDs05288232	AC1NRB2Z	314.375663	CC(C)N(C1=CC=C(C=C1)F)C(=O)CSCC(C(=O)O)N	PUBCHEM:5288232	5288232
CIDs05288382	geldanamycin	560.6359	CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC	CHEMBL278315	5288382
CIDs05289071	2'-O-methyl-UMP	338.207862	COC1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)O)O	PUBCHEM:5289071	5289071
CIDs05289124	pactamycin	558.62332	CC1=C(C(=CC=C1)O)C(=O)OCC2(C(C(C(C2(C)O)(C(C)O)NC(=O)N(C)C)N)NC3=CC=CC(=C3)C(=O)C)O	CHEMBL458512	5289124
CIDs05289145	AC1NRCR6	749.007142	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCCCCC=CCCCCCC	PUBCHEM:5289145	5289145
CIDs05289231	AC1NRCWU	472.5175	CN(C)C1=NC=NC2=C1NC=[N+]2C3C(C(C(O3)CO)NC(=O)C(CC4=CC=C(C=C4)OC)N)O	PUBCHEM:5289231	5289231
CIDs05289243	DB02566	235.23592	CC(C1=CC(=NC2=C1C=CCC2O)C(=O)O)O	PUBCHEM:5289243	5289243
CIDs05289394	AC1NRD84	843.05266	CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C	PUBCHEM:5289394	5289394
CIDs05321487	squamosamide	465.49508	COC1=CC(=CC(=C1O)OC)C(=CC2=CC(=C(C=C2)O)OC)C(=O)NCCC3=CC=C(C=C3)O	PUBCHEM:5321487	5321487
CIDs05326960	glutathione sulfinate	339.32228	C(CC(=O)NC(CS(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N	PUBCHEM:5326960	5326960
CIDs05348276	AC1NT7Z9	349.17932	COC1=C(C=C(C=C1)C=NNC2=CC=C(C=C2)C(=O)O)Br	CHEMBL3190653	5348276
CIDs05351116	AC1NRZYN	288.72892	CC1=CC(=C(C=C1)C(=O)ON=C(C2=CC=CC=C2)N)Cl	CHEMBL1330583	5351116
CIDs05401877	AC1NTDW8	324.39684	CC1=CC(=C(C=C1)N(C(=O)C)N=C2C(=O)C3=CC=CC=C3S2)C	CHEMBL1904348	5401877
CIDs05496803	CHEBI:29688	812.0037	CCC1C2(C(C(C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C	PUBCHEM:5496803	5496803
CIDs05735441	AC1NWTDY	416.4955	CC1=CC=C(C=C1)N=C(C2=NC3=CC=CC=C3S2)NNC=C4C=CC(=O)C(=C4)OC	CHEMBL3192121	5735441
CIDs05775222	AC1NXANZ	419.42994	COC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)NNC=C3C=CC(=O)C(=C3)OC	CHEMBL1973921	5775222
CIDs05807017	AC1NXILO	290.2316	C1COC2=C(O1)C=CC(=C2)NN=C3C(=O)NC(=O)NC3=O	CHEMBL1423731	5807017
CIDs05822367	NSC-662249	290.33584	C[N+]1=C(C=CC2=CC=CC=C21)C=CC3=CC4=C(C=C3)OCO4	CHEMBL1539980	5822367
CIDs06007566	AC1O0917	278.41628	CCN1CCN(CC1)C=NC2=NC3=C(S2)CCCC3	CHEMBL3199915	6007566
CIDs06243882	AC1O31MA	296.3636	CC(C)(C)C1=CC=C(C=C1)C(=O)ON=C(C2=CC=CC=C2)N	CHEMBL1569988	6243882
CIDs06247456	AC1O35C4	315.41322	CN=C1N(C(=CS1)C2=CC=CS2)NC=C3C=CC=CC3=O	CHEMBL3198633	6247456
CIDs06323289	dalfopristin	690.8472	CCN(CC)CCS(=O)(=O)C1CCN2C1C(=O)OC(C(C=CC(=O)NCC=CC(=CC(CC(=O)CC3=NC(=CO3)C2=O)O)C)C)C(C)C	CHEMBL1200937	6323289
CIDs06449989	dehydrobutyrine	101.10388	CC=C(C(=O)O)N	PUBCHEM:6449989	6449989
CIDs06610292	lactacystin	376.42526	CC1C(C(NC1=O)(C(C(C)C)O)C(=O)SCC(C(=O)O)NC(=O)C)O	CHEMBL374308	6610292
CIDs06618865	AC1O7SB1	308.3776	CN(C1CCCCC1)C2=NN3C(=NC4=CC=CC=C4C3=O)C=C2	CHEMBL1324188	6618865
CIDs06857725	AC1OAH4S	423.39564	C(CC(=O)NC(CSC(CC(=O)O)C(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N	PUBCHEM:6857725	6857725
CIDs06917864	artesunate	384.42082	CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C	CHEMBL361497	6917864
CIDs06951134	N-Me-Phe	179.21572	C[NH2+]C(CC1=CC=CC=C1)C(=O)[O-]	CHEMBL1234265	6951134
CIDs07422385	AC1OMM8Z	364.36487	CC1CCN(CC1)C2=NN=C(C=C2)C3=CC(=CC=C3)NC(=O)C(F)(F)F	CHEMBL1503659	7422385
CIDs07584226	AC1OOOKN	406.45762	CC(=C1C(=NN(C1=O)C2=NC3=CC=CC=C3S2)CC(=O)OC)NC4=CC=CC=C4	CHEMBL3192138	7584226
CIDs08030390	AC1OY032	338.35722	CC1=C(C(=O)OC2=C1C=CC(=C2C)OCC(=O)NC3=CC=CC=N3)C	CHEMBL1392611	8030390
CIDs08072991	AC1OZ2B5	324.42006	CC1=C(N(C2=C1C(=NC=N2)NCCC3=CC=CC=C3)CCOC)C	CHEMBL1457961	8072991
CIDs09116001	T5524007	297.34836	C1COC2=C(C=C(C=C2)C(=O)NCCC3=CC=CC=C3)OC1	CHEMBL1378232	9116001
CIDs09543443	D05905	361.43706	CC1=C(C(=O)NC(=O)N1)C=CC(=O)NC(CO)CS(=O)CSC	CHEMBL105720	9543443
CIDs09566818	STK642096	254.3103	C1=CC=C2C(=C1)N=C(S2)NN=CC3=CC=CC=N3	CHEMBL2004141	9566818
CIDs09583469	MolPort-002-896-060	383.2723	CC1=C(C(=NN1C(C)(C)C)C)C=NOC(=O)NC2=CC(=C(C=C2)Cl)Cl	CHEMBL1965654	9583469
CIDs09587731	Ambcb7750122	269.2985	CC1=CC(=C(C=C1)C(=O)ON=C(C2=CC=CC=N2)N)C	CHEMBL1481543	9587731
CIDs09610413	T0517-8874	305.3306	C1COC2=C(O1)C=CC(=C2)C=NNC3=NC4=CC=CC=C4C=C3	CHEMBL3193873	9610413
CIDs09633427	cid_9633427	282.33702	CC(C)C1=CC=C(C=C1)C=NNC2=CC=C(C=C2)C(=O)O	CHEMBL3195657	9633427
CIDs09642058	Mls000589715	394.8078	C1=CC=C(C(=C1)C(=O)OC2=CC=C(C=C2)C=NNC3=CC=C(C=C3)C(=O)O)Cl	CHEMBL3191218	9642058
CIDs09643155	MolPort-003-704-645	296.3636	CC(C)(C)C1=CC=C(C=C1)C=NNC2=CC=CC(=C2)C(=O)O	CHEMBL3198939	9643155
CIDs09657171	STK579470	321.37306	CC(C)N1C=C(C2=CC=CC=C21)C=NNC3=CC=C(C=C3)C(=O)O	CHEMBL3191946	9657171
CIDs09678325	T0506-8620	402.30032	CC1=NN(C(=C1C=NNC2=NC3=CC=CC=C3S2)Cl)C4=CC=CC=C4Cl	CHEMBL3195389	9678325
CIDs09700330	PB315254390	260.31158	CC1=CC=C(S1)C=NNC2=CC=C(C=C2)C(=O)O	CHEMBL3193530	9700330
CIDs09859662	Heat Shock Protein Inhibitor I	245.23074	C1CN(C(=O)C1=CC2=CC3=C(C=C2)OCO3)C=O	CHEMBL1240927	9859662
CIDs10691837	nn-dimethyl guanylic acid	391.273782	CN(C)C1=NC(=O)C2=C(N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O	PUBCHEM:10691837	10691837
CIDs10878285	4-hydroxymethyl-3-methylindole-2-carboxylate	205.20994	CC1=C(NC2=CC=CC(=C12)CO)C(=O)O	PUBCHEM:10878285	10878285
CIDs10965805	ZINC11887869	211.21452	COC1=CC=C(C=C1)C(C(C(=O)O)N)O	PUBCHEM:10965805	10965805
CIDs11062499	RP08852	143.14056	C1CNC(CC1=O)C(=O)O	PUBCHEM:11062499	11062499
CIDs12005106	Smr000204784	313.39236	CC1=CC(=C(N1C2=CC=CC=C2)C)C=C3CC4=CC=CC=C4C3=O	CHEMBL1339283	12005106
CIDs12005206	Mls000583076	355.30492	C1COC2=C(O1)C=CC(=C2)N3N=C(C(=NC4=CC=CC=C4)N3O)[N+](=O)[O-]	CHEMBL1333930	12005206
CIDs12006093	Mls000720408	359.397903	COC(=O)C1=CC2=C(C=C1)N=C(S2)NC3=NC4=C(S3)C=C(C=C4)F	CHEMBL1495977	12006093
CIDs12803287	RTMP	338.207862	CC1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O	PUBCHEM:12803287	12803287
CIDs12876354	GGZ	489.249044	C1=NC2=C(C(=N1)N)N=CN2C3C4C(C(O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O4)O	PUBCHEM:12876354	12876354
CIDs14728174	N(2)-methyl-GMP	377.247202	CNC1=NC(=O)C2=C(N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O	PUBCHEM:14728174	14728174
CIDs16040250	[(2S)-1-[2-azanylethoxy(oxidanyl)phosphoryl]oxy-3-hexadecanoyloxy-propan-2-yl] octadecanoate	720.012282	CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN	PUBCHEM:16040250	16040250
CIDs16040283	13T	594.7334	CC=CC(C)C1C(O1)(C)C(C2COC(=O)C(C(C(C(=O)C(C(C(=CC(C(=O)CCC(C2=O)C)C)C)O)C)C)OC)O)O	PUBCHEM:16040283	16040283
CIDs16195963	Oprea1_168710	300.353923	CN=C1N(C(=CS1)C2=CC=CC=C2F)NC=C3C=CC=N3	CHEMBL1971760	16195963
CIDs16195989	HMS2707L13	370.40392	C1=CC2=C(C(=C1)OCC3=CC=C(C=C3)C(=O)NNC=C4C=CC=N4)N=CC=C2	CHEMBL3190911	16195989
CIDs16655024	4-thiouridylate	340.246882	C1=CN(C(=O)NC1=S)C2C(C(C(O2)COP(=O)(O)O)O)O	CHEMBL1230331	16655024
CIDs16760025	CTK1D3306	361.247802	CNC1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O	CHEMBL1230507	16760025
CIDs16760241	Tn antigen	308.2851	CC(=O)NC1C(C(C(OC1OCC(C(=O)[O-])[NH3+])CO)O)O	PUBCHEM:16760241	16760241
CIDs18596452	CTK0J9100	377.247202	CN1C(=O)C2=C(N=C1N)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O	PUBCHEM:18596452	18596452
CIDs18628280	hydron;phosphonato phosphate	175.959204	[H+].[H+].[O-]P(=O)([O-])OP(=O)([O-])[O-]	PUBCHEM:18628280	18628280
CIDs18931838	AGN-PC-0BUEPK	114.14408	[H+].[H+].[O-]S(=O)(=S)[O-]	PUBCHEM:18931838	18931838
CIDs19420248	hydron;phosphate	95.979302	[H-].[O-]P(=O)([O-])[O-]	PUBCHEM:19420248	19420248
CIDs20042692	hydron;sulfate	97.07054	[H-].[O-]S(=O)(=O)[O-]	PUBCHEM:20042692	20042692
CIDs20274032	hydron;acetate	61.0599	[H+].CC(=O)O	PUBCHEM:20274032	20274032
CIDs20395750	ethane-1,2-diol;hydron	63.07578	[H+].C(CO)O	PUBCHEM:20395750	20395750
CIDs23604753	HMS2883F04	300.35714	CC1=NC2=C(C=NN2C(=C1C3=CC=CC=C3)N)C4=CC=CC=C4	CHEMBL1472925	23604753
CIDs24747342	HMS3358O07	340.4393	CC(C)(C)OC(=O)N(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3S2	CHEMBL1301042	24747342
CIDs24747923	HMS3357B03	334.43142	C1CCC(CC1)(C#CC2=CC3=C(C=C2)SC4=CC=CC=C4C3=O)O	CHEMBL1312738	24747923
CIDs24892762	C05696	554.159324	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O[Se](=O)(=O)O)OP(=O)(O)O)O	PUBCHEM:24892762	24892762
CIDs25193409	CHEMBL507881	2261.62644	CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)C(CCSC)NC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL507881	25193409
CIDs25193411	CHEMBL525809	2243.58802	CC(C)CC(C(=O)NC(C(C)C)C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL525809	25193411
CIDs25193412	CHEMBL526492	2233.57328	CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)C(CS)NC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL526492	25193412
CIDs25193416	CHEMBL505657	2229.56144	CC(C)C(C(=O)NC(C(C)C)C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL505657	25193416
CIDs25193417	CHEMBL526355	2233.57328	CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)C(CS)NC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL526355	25193417
CIDs44123843	Neuropeptide S	2187.4817	CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL230333	44123843
CIDs44199360	N(6)-dimethyl-AMP	374.266442	CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)[O-])O)O	PUBCHEM:44199360	44199360
CIDs44337753	CHEMBL321214	351.4388	CN1CC2CC1CC(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O	CHEMBL321214	44337753
CIDs44580124	CHEMBL526551	2159.4683	CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C(CCCCN)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL526551	44580124
CIDs44580127	CHEMBL510338	2145.44172	CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C(CCCN)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL510338	44580127
CIDs44580133	CHEMBL524693	2201.50828	CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C(CCCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL524693	44580133
CIDs44580134	CHEMBL524688	2215.53486	CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=NC)NC)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL524688	44580134
CIDs44580135	CHEMBL524654	2215.53486	CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N)N(C)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL524654	44580135
CIDs44580136	CHEMBL448242	2232.47926	CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N[N+](=O)[O-])N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL448242	44580136
CIDs44580138	CHEMBL525031	2255.47637	CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C(CCCCNC(=O)C(F)(F)F)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL525031	44580138
CIDs44580144	CHEMBL453962	2174.48294	CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)CNC(=O)C(C(C)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL453962	44580144
CIDs44602426	N(3)-methyl-UMP	338.207862	CN1C(=O)C=CN(C1=O)C2C(C(C(O2)COP(=O)(O)O)O)O	CHEMBL215940	44602426
CIDs46173764	3'-amino-3'-deoxy-AMP	346.236462	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)N)O	PUBCHEM:46173764	46173764
CIDs46936447	DB02661	510.141424	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O.O=[V]=O	PUBCHEM:46936447	46936447
CIDs46936762	DB03708	427.284422	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O	PUBCHEM:46936762	46936762
CIDs46937130	DB08185	463.445702	CC(C)CCNC1=NC(=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O)SC	PUBCHEM:46937130	46937130
CIDs49822695	cmp-5	324.204462	C1=C(NC(=O)[N+](=C1)C2C(C(C(O2)COP(=O)(O)O)O)O)N	PUBCHEM:49822695	49822695
CIDs49866400	CHEBI:74651	538.426182	CC(C(C(=O)O)NC(=O)NC1=NC(=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O)SC)O	PUBCHEM:49866400	49866400
CIDs49866464	2-methyl-adenylate	361.247802	CC1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O	PUBCHEM:49866464	49866464
CIDs49866561	SCHEMBL3470005	412.309542	COC(=O)CC1=CN(C(=S)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O	PUBCHEM:49866561	49866561
CIDs49866685	(Z)-2-amino-3-mercapto-acrylic acid	119.1423	C(=C(C(=O)O)N)S	PUBCHEM:49866685	49866685
CIDs49866839	L-cysteine sulfoxide	137.15758	C(C(C(=O)O)N)S=O	PUBCHEM:49866839	49866839
CIDs49867309	n-methyl-p-dimethylaminophenylalanine	222.28352	CNC(CC1=CC=C(C=C1)N(C)C)C(=O)O	PUBCHEM:49867309	49867309
CIDs49867759	(2S,3S,4R)-2-amino-3,4-dihydroxy-3-methyl-valeric acid	163.17172	CC(C(C)(C(C(=O)O)N)O)O	PUBCHEM:49867759	49867759
CIDs49867784	(Z)-2-amino-3-ureido-acrylic acid	145.11668	C(=C(C(=O)O)N)NC(=O)N	PUBCHEM:49867784	49867784
CIDs49867889	CHEBI:74300	588.461722	CC1=C(N2C(=O)C3=C(N(C2=N1)C)N(C=N3)C4C(C(C(O4)COP(=O)(O)O)O)O)CCC(C(=O)OC)NC(=O)OC	PUBCHEM:49867889	49867889
CIDs52911283	A845205	228.22516	C1C(C(OC1[N+]2=CC=C(NC2=O)N)CO)O	PUBCHEM:52911283	52911283
CIDs52941584	CHEBI:74731	338.207862	CN1C(=O)C(=CNC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O	PUBCHEM:52941584	52941584
CIDs53723505	N-dimethyl-L-threonine	147.17232	CC(C(C(=O)O)N(C)C)O	PUBCHEM:53723505	53723505
CIDs54581309	CHEMBL1765705	2182.44534	CC(C)C(C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)N)C(=O)O)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N	CHEMBL1765705	54581309
CIDs70789299	1F2	788.96706	CCC1C2(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC(=O)N3CCCC3C4=CN=CC=C4)C)OC5C(C(CC(O5)C)N(C)C)O)(C)OC)C)C)NC(=O)O2)C	CHEMBL2338711	70789299
CIDs70789301	1F4	817.02022	CCC1C2(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC(=O)N3CC(CC3C4=CN=CC=C4)(C)C)C)OC5C(C(CC(O5)C)N(C)C)O)(C)OC)C)C)NC(=O)O2)C	PUBCHEM:70789301	70789301
CIDs71627367	4'-O-Benzyl paromomycin	705.75104	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)OCC3=CC=CC=C3)O)N)OC4C(C(C(O4)CO)OC5C(C(C(C(O5)CN)O)O)N)O)O)N	PUBCHEM:71627367	71627367
CIDs72193709	O-acetyl-ADP-ribose	601.352424	CC(=O)OC1C(C(OC1O)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)O)O	PUBCHEM:72193709	72193709
CIDm00000073	3'-phosphoadenosine 5'-phosphate	427.201124	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O	CHEMBL574817	73
CIDm00000106	pSer	185.072482	C(C(C(=O)O)N)OP(=O)(O)O	CHEMBL1418244	106
CIDm00000174	polyethylene glycol	62.06784	C(CO)O	CHEMBL457299	174
CIDm00000175	acetate	59.04402	CC(=O)[O-]	CHEMBL539	175
CIDm00000177	acetaldehyde	44.05256	CC=O	CHEMBL170365	177
CIDm00000181	acetyl-CoA	809.570806	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	PUBCHEM:181	181
