compound_id	pref_name	max_phase	canonical_smiles	pubchem_cid	inchikey	alogp	mw	n_vendors	example_vendors	structure_source
CHEMBL1351908	NSC-33010		CC(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3S2					0		ChEMBL
CHEMBL423192	anisomycin		CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O					0		ChEMBL
CHEMBL406270	dithiothreitol		C(C(C(CS)O)O)S					0		ChEMBL
PUBCHEM:439417	L-beta-lysine		C(CC(CC(=O)O)N)CN	439417				13	001Chemical; A2B Chem; AA BLOCKS; Ambinter; BLD Pharm	
PUBCHEM:439424	pseudouridylic acid		C1=C(C(=O)NC(=O)N1)C2C(C(C(O2)COP(=O)(O)O)O)O	439424				14	Angene Chemical; BLD Pharm; BOC Sciences; BenchChem; Biorbyt	
CHEMBL2104870	puromycin		CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)NC(=O)C(CC4=CC=C(C=C4)OC)N)O					0		ChEMBL
CHEMBL553426	D-alpha-aminobutyric acid		CCC(C(=O)O)N					0		ChEMBL
PUBCHEM:439750	N-formylmethionine		CSCCC(C(=O)O)NC=O	439750				59	001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AKos Consulting & Solutions	
PUBCHEM:440416	C04639		C1CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O	440416				4	AA BLOCKS; ChemoSapiens; J&H Chemical Co.,ltd; RR Scientific	
PUBCHEM:440758	adenosine 5'-phosphoselenate		C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O[Se](=O)(=O)O)O)O	440758				3	BenchChem; EvitaChem; RR Scientific	
CHEMBL126	linezolid		CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F					0		ChEMBL
PUBCHEM:444080	Maval		CC(C)C(C(=O)O)NC	444080				60	10X CHEM; 1st Scientific; A2B Chem; AA BLOCKS; AChemBlock	
PUBCHEM:444104	glutathione sulfonic acid		C(CC(=O)NC(CS(=O)(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N	444104				34	001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AKos Consulting & Solutions	
PUBCHEM:444493	acetyl-CoA		CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	444493				37	001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AKos Consulting & Solutions	
PUBCHEM:444718	L-3-phenyllactic acid		C1=CC=C(C=C1)CC(C(=O)O)O	444718				69	001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AKos Consulting & Solutions	
CHEMBL165	resveratrol		C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O					0		ChEMBL
PUBCHEM:446207	D-phenylalanyl		C1=CC=C(C=C1)CC(C=O)N	446207				6	A2B Chem; AA BLOCKS; AKos Consulting & Solutions; Enamine; abcr GmbH	
PUBCHEM:446782	AC1L9K3C		CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)O)NC(=O)C(CC4=CC=C(C=C4)OC)N)O	446782				0		
PUBCHEM:448209	CMP-sialic acid		CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)O	448209				35	10X CHEM; A2B Chem; AA BLOCKS; AChemBlock; AbMole Bioscience	
CHEMBL489	4-hydroxytamoxifen		CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3					0		ChEMBL
PUBCHEM:451597	PANS 5'-monophosphate		CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)O)N)O	451597				2	RR Scientific; Starshine Chemical	
PUBCHEM:475367	AC1L9SSV		C(C(=O)O)P(=S)(O)O	475367				0		
CHEMBL1488586	AC1LCZ7S		CC(C)(C)C1=CC=C(C=C1)C(=O)NCCOC2=CC=CC=C2F					0		ChEMBL
CHEMBL1605795	AC1LLXX3		CC1=C(C(NC(=O)N1)C2=CC=C(C=C2)F)C(=O)OCC3=CC4=C(C=C3)OCO4					0		ChEMBL
CHEMBL1329446	AC1OCX1K		CC(C)C1=CC=C(C=C1)C2=NN(N=N2)CCC(=O)O					0		ChEMBL
CHEMBL1524482	T6375761		CC1CCN(CC1)C2=CC(=NC3=C(C=NN23)C4=CC=CC=C4)C					0		ChEMBL
CHEMBL1352897	AC1LEXOX		C1CCN(C1)C2=NC(=O)C(=CC=CC3=CC=CC=C3)S2					0		ChEMBL
CHEMBL1537098	ksc-8-51		CC(C)(C)C1=CC=C(O1)C(=O)NC2=CC=C(C=C2)CC(=O)O					0		ChEMBL
CHEMBL405317	AC1LHJD2		C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC(=NO3)C4=CC=CC=N4					0		ChEMBL
CHEMBL1470676	AC1LI2XE		CC1=CC(=NC(=C1C#N)SCC2=NN=C(O2)C3=CC=CC=C3)C					0		ChEMBL
CHEMBL1361922	AC1LHOAV		CC1=CC(=CC=C1)N2C3=C(C=N2)C(=NC=N3)N(C)C4CCCCC4					0		ChEMBL
CHEMBL1310144	AC1LHQM7		C1=CC=C(C=C1)C2=CN3C(=N2)SC(=N3)C4=CC=CC=C4					0		ChEMBL
CHEMBL1587117	3-[(4-ethoxyphenoxy)methyl]benzoic acid		CCOC1=CC=C(C=C1)OCC2=CC=CC(=C2)C(=O)O					0		ChEMBL
CHEMBL1310435	AC1LK9W8		CC1=C(C=C(C=C1)C(=O)NC2=C(C(=C(S2)C)C3=CC=CC=C3)C(=O)N)[N+](=O)[O-]					0		ChEMBL
PUBCHEM:1151030	LS-40231		CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC	1151030				4	Ambinter; BOC Sciences; BenchChem; EvitaChem	
CHEMBL1332512	T5660652		CC1=CC(=C(N1C2=CC=CC=C2)C)C(=O)CSC3=NN=C4N3C=CC=C4					0		ChEMBL
CHEMBL1506503	AC1LOE3E		CC1=C(N=C(C(=C1C)C#N)SCC(=O)NC2=NC3=CC=CC=C3S2)C					0		ChEMBL
CHEMBL1884996	AC1LOZXM		CC1=CC(=C(N1C2=CC=CC=N2)C)C=C3C(=O)N4C5=CC=CC=C5N=C4S3					0		ChEMBL
CHEMBL1518184	AC1LR2WT		CC1=CC(=C(C=C1)OCC(=O)NC(=S)NC2=CC=CC=N2)Br					0		ChEMBL
CHEMBL1461730	AC1LRSO5		CC(C)(C)C(=O)NC1=CN=C(C=C1)NC(=O)C2=CC=CO2					0		ChEMBL
CHEMBL1383149	6W-0211		CC1=CC=C(C=C1)N2C=C(C=N2)C(=O)C3=CC=CC=C3O					0		ChEMBL
CHEMBL1403014	8J-320S		CC1=CC(=CC(=C1OC(=S)N(C)C)C)C(=O)CSC2=CC=C(C=C2)F					0		ChEMBL
CHEMBL15770	sulindac		CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)[O-]					0		ChEMBL
CHEMBL1910655	AC1MW8TA		CC1=CC(=C(N1C2=CC=CC=C2F)C)C=C3C(=O)N(C(=NC)S3)C					0		ChEMBL
CHEMBL261123	AC1M0U13		CC1=CC(=C(C=C1)C2=NC(=NO2)C3=CC=CC=C3)Cl					0		ChEMBL
CHEMBL1470904	AC1M3MDE		CC(C)OC(=O)C1=C(C2=C(S1)N=C(C=C2)C3=CC=CC=C3)N					0		ChEMBL
CHEMBL1573366	AC1M48EM		C1=CC=C(C=C1)C(=O)C=CNC2=C(C=C(C=C2)F)Br					0		ChEMBL
CHEMBL1606031	AC1M50DI		CC1=CC(=NO1)NC(=O)C2=CC3=C(C=C2)N=C(S3)C					0		ChEMBL
CHEMBL1320007	AC1M597T		CCN1C(=NC2=C1C=CC(=C2)C(=O)NNC(=S)NC3=CC=CC=C3)C					0		ChEMBL
CHEMBL1351963	AC1M5TQX		CC1CC[NH+](CC1)CC(=O)C2=C(N(C(=C2)C)C3=CC=CC=C3F)C					0		ChEMBL
CHEMBL1363796	AC1OBK1Z		CCOC1=CC=CC=C1N2C3=CC=CC=[N+]3C(=C2S)C(=O)NC4=CC=C(C=C4)C					0		ChEMBL
CHEMBL1417851	AC1M6MT7		CC1=CC(=C(N1CCOC)C)C(=O)COC(=O)C2=CC=CC=C2Br					0		ChEMBL
CHEMBL1610938	AC1M6QGF		CC1=CC(=C(N1CC2=CC=CO2)C)C(=O)COC(=O)C3=CC=CO3					0		ChEMBL
CHEMBL1339678	T5517345		C1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=CC=N3					0		ChEMBL
CHEMBL1392142	AC1M72LB		CC1=CC(=C(N1CC2=CC=CS2)C)C(=O)COC(=O)C3=CC=CC=C3O					0		ChEMBL
CHEMBL1320794	AC1M747X		CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)NC2=NC3=C(S2)CCCC3					0		ChEMBL
CHEMBL1406361	AC1Q2HP2		CC1=CC(=C(N1C2=CC=CC=C2)C)C(=O)NC3=CC=C(C=C3)Cl					0		ChEMBL
CHEMBL1525789	AC1Q2U3M		CCC1=CC2=NC(=CN2C=C1)C3=CC(=NO3)C4=CC=CC=C4					0		ChEMBL
CHEMBL1562575	AC1Q5HEM		C1COC2=C(C=C(C=C2)C(=O)CN3C(=O)C4=CC=CC=C4S3(=O)=O)OC1					0		ChEMBL
CHEMBL1605021	AC1ME6L3		CCCS(=O)(=O)C1=CN=C(N=C1N)C2COC3=CC=CC=C3O2					0		ChEMBL
CHEMBL1256987	fusidic acid		CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C					0		ChEMBL
CHEMBL441	thiopentone		CCCC(C)C1(C(=O)NC(=S)NC1=O)CC					0		ChEMBL
PUBCHEM:3080744	poly(rCm		COC1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	3080744				9	Alfa Chemistry; BOC Sciences; BenchChem; Biosynth; ChemoSapiens	
CHEMBL1385073	AC1MJSXK		CC(C)(C)C(=O)NC1=CC=C(C=C1)N=NC2=CC=CC=C2					0		ChEMBL
CHEMBL1480522	AC1MJ10T		C1COC2=C(O1)C=CC(=C2)C(=O)CCCC3=CC=CC=C3					0		ChEMBL
CHEMBL1376674	AC1LSB1T		CC1CCCCN1C2=NC=NC3=C2SN=C3C4=CC=C(C=C4)OC					0		ChEMBL
CHEMBL1583768	AC1MLVZO		CN1CCCC1CCN(C2=NC3=CC=CC=C3S2)C(=O)C4=CC=CC=C4OC					0		ChEMBL
PUBCHEM:3246323	O-phosphothreonine		CC(C(C(=O)O)N)OP(=O)(O)O	3246323				59	10X CHEM; 10X CHEM; A2B Chem; A2B Chem; AA BLOCKS	
CHEMBL1352521	AC1MP7MF		C1=CC=C(C=C1)N2C=C(NC2=S)C3=CC4=CC=CC=C4OC3=O					0		ChEMBL
CHEMBL1595790	AC1MPSSS		CC1=CC2=C(C=C1)OC(=N2)N=C(N)NC(=O)C(C)(C)C					0		ChEMBL
CHEMBL1583837	AC1MRXG6		C1CCC2=NC3=CC(=NN3C(=C2C1)C(F)(F)F)C(=O)NC4=C(C=C(C=C4)F)F					0		ChEMBL
CHEMBL1486874	AC1MS651		CC1CCCN(C1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)Cl					0		ChEMBL
PUBCHEM:3556268	osmium ammine-B		[NH2-].[NH2-].[NH2-].[NH2-].[NH2-].[NH2-].[Os]	3556268				0		
CHEMBL1579258	AC1MTRSQ		CC1=CC(=C(N1CCOC)C)C2=NN=C(SC2)NC3=CC=CC=C3F					0		ChEMBL
CHEMBL1500447	AC1OIK6A		C1=CC=C(C=C1)C(=O)CC(C(=O)O)NC2=C(C=C(C=C2)Cl)Cl					0		ChEMBL
CHEMBL1569984	5T-0269		CN1CCN(CC1)C2=CC=C(C=C2)NC(=O)N3CCC4=CC=CC=C43					0		ChEMBL
CHEMBL1303404	3T-0330		CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC(=CC=C4)OC					0		ChEMBL
CHEMBL1507250	KSC-8-64		CC1=C(C=C(C=C1)NC(=O)C2=CC3=CC=CC=C3OC2=O)S(=O)(=O)N(C)C					0		ChEMBL
CHEMBL1453996	1W-0926		CN1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4C=C3					0		ChEMBL
CHEMBL1496413	AC1N8FAO		CC1CCC2=C(C1)SC=C2C(=O)NNC(=S)NC3=CC=CC=C3C					0		ChEMBL
CHEMBL1573994	ksc-8-87		CCNC1=NN=C(CS1)C2=C(N(C(=C2)C)CC=C)C					0		ChEMBL
CHEMBL1597561	AC1NMU2T		CC1=CC(=C(N1CC2CCCO2)C)C(=O)COC(=O)C3=CC=CC=C3Br					0		ChEMBL
PUBCHEM:5287712	atrazine-glutathione conjugate		CCNC1=NC(=NC(=N1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)NC(C)C	5287712				25	10X CHEM; A2B Chem; AA BLOCKS; Angene Chemical; BLD Pharm	
PUBCHEM:5287987	L-Capreomycidine		C1CN=C(NC1C(C(=O)O)N)N	5287987				0		
PUBCHEM:5288232	AC1NRB2Z		CC(C)N(C1=CC=C(C=C1)F)C(=O)CSCC(C(=O)O)N	5288232				0		
PUBCHEM:5289071	2'-O-methyl-UMP		COC1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)O)O	5289071				4	Angene Chemical; Biorbyt; RR Scientific; TargetMol	
CHEMBL458512	pactamycin		CC1=C(C(=CC=C1)O)C(=O)OCC2(C(C(C(C2(C)O)(C(C)O)NC(=O)N(C)C)N)NC3=CC=CC(=C3)C(=O)C)O					0		ChEMBL
PUBCHEM:5289145	AC1NRCR6		CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCCCCC=CCCCCCC	5289145				3	BenchChem; EvitaChem; RR Scientific	
PUBCHEM:5289231	AC1NRCWU		CN(C)C1=NC=NC2=C1NC=[N+]2C3C(C(C(O3)CO)NC(=O)C(CC4=CC=C(C=C4)OC)N)O	5289231				0		
PUBCHEM:5289243	DB02566		CC(C1=CC(=NC2=C1C=CCC2O)C(=O)O)O	5289243				0		
PUBCHEM:5289394	AC1NRD84		CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C	5289394				60	AbMole Bioscience; AbaChemScene; Accel Scientific; Achemtek; Achemtek	
PUBCHEM:5321487	squamosamide		COC1=CC(=CC(=C1O)OC)C(=CC2=CC(=C(C=C2)O)OC)C(=O)NCCC3=CC=C(C=C3)O	5321487				3	MuseChem; RR Scientific; Starshine Chemical	
PUBCHEM:5326960	glutathione sulfinate		C(CC(=O)NC(CS(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N	5326960				5	BOC Sciences; CATO Research Chemicals Inc.; CymitQuimica; Quality Control Solutions (QCS Standards); Veeprho	
CHEMBL3190653	AC1NT7Z9		COC1=C(C=C(C=C1)C=NNC2=CC=C(C=C2)C(=O)O)Br					0		ChEMBL
CHEMBL1330583	AC1O3WF7		CC1=CC(=C(C=C1)C(=O)ON=C(C2=CC=CC=C2)N)Cl					0		ChEMBL
CHEMBL1904348	AC1NTDW8		CC1=CC(=C(C=C1)N(C(=O)C)N=C2C(=O)C3=CC=CC=C3S2)C					0		ChEMBL
PUBCHEM:5496803	CHEBI:29688		CCC1C2(C(C(C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C	5496803				0		
CHEMBL3192121	AC1O9FKX		CC1=CC=C(C=C1)N=C(C2=NC3=CC=CC=C3S2)NNC=C4C=CC(=O)C(=C4)OC					0		ChEMBL
CHEMBL1973921	AC1O9C78		COC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)NNC=C3C=CC(=O)C(=C3)OC					0		ChEMBL
CHEMBL1423731	AC1NXILO		C1COC2=C(O1)C=CC(=C2)NN=C3C(=O)NC(=O)NC3=O					0		ChEMBL
CHEMBL1539980	NSC-662249		C[N+]1=C(C=CC2=CC=CC=C21)C=CC3=CC4=C(C=C3)OCO4.[I-]					0		ChEMBL
CHEMBL3199915	AC1M4QTA		CC[NH+]1CCN(CC1)C=NC2=NC3=C(S2)CCCC3					0		ChEMBL
CHEMBL1569988	AC1N3FCH		CC(C)(C)C1=CC=C(C=C1)C(=O)O[NH+]=C(C2=CC=CC=C2)N					0		ChEMBL
CHEMBL3198633	AC1OB9S3		CN=C1N(C(=CS1)C2=CC=CS2)NC=C3C=CC=CC3=O					0		ChEMBL
CHEMBL1200937	dalfopristin		CCN(CC)CCS(=O)(=O)C1CCN2C1C(=O)OC(C(C=CC(=O)NCC=CC(=CC(CC(=O)CC3=NC(=CO3)C2=O)O)C)C)C(C)C					0		ChEMBL
PUBCHEM:6449989	dehydrobutyrine		CC=C(C(=O)O)N	6449989				8	BLD Pharm; BLD Pharm; CATO Research Chemicals Inc.; J&H Chemical Co.,ltd; J&H Chemical Co.,ltd	
CHEMBL374308	lactacystin		CC1C(C(NC1=O)(C(C(C)C)O)C(=O)SCC(C(=O)O)NC(=O)C)O					0		ChEMBL
CHEMBL1324188	AC1O7SB1		CN(C1CCCCC1)C2=NN3C(=NC4=CC=CC=C4C3=O)C=C2					0		ChEMBL
PUBCHEM:6857725	AC1OAH4S		C(CC(=O)NC(CSC(CC(=O)O)C(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N	6857725				0		
CHEMBL361497	artesunate		CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C					0		ChEMBL
CHEMBL1234265	N-Me-Phe		CNC(CC1=CC=CC=C1)C(=O)O					0		ChEMBL
CHEMBL1503659	AC1OMM8Z		CC1CCN(CC1)C2=NN=C(C=C2)C3=CC(=CC=C3)NC(=O)C(F)(F)F					0		ChEMBL
CHEMBL3192138	AC1OOOKN		CC(=C1C(=NN(C1=O)C2=NC3=CC=CC=C3S2)CC(=O)OC)NC4=CC=CC=C4					0		ChEMBL
CHEMBL1392611	AC1OY032		CC1=C(C(=O)OC2=C1C=CC(=C2C)OCC(=O)NC3=CC=CC=N3)C					0		ChEMBL
CHEMBL1457961	AC1OZ2B5		CC1=C(N(C2=C1C(=NC=N2)NCCC3=CC=CC=C3)CCOC)C					0		ChEMBL
CHEMBL1378232	T5524007		C1COC2=C(C=C(C=C2)C(=O)NCCC3=CC=CC=C3)OC1					0		ChEMBL
CHEMBL105720	D05905		CC1=C(C(=O)NC(=O)N1)C=CC(=O)NC(CO)CS(=O)CSC					0		ChEMBL
CHEMBL2004141	AC1MEL5K		C1=CC=C2C(=C1)N=C(S2)NN=CC3=CC=CC=N3					0		ChEMBL
CHEMBL1965654	AC1NWW1D		CC1=C(C(=NN1C(C)(C)C)C)C=NOC(=O)NC2=CC(=C(C=C2)Cl)Cl					0		ChEMBL
CHEMBL1481543	AC1NWZ19		CC1=CC(=C(C=C1)C(=O)ON=C(C2=CC=CC=N2)N)C					0		ChEMBL
CHEMBL3193873	AC1O3RBM		C1COC2=C(O1)C=CC(=C2)C=NNC3=NC4=CC=CC=C4C=C3					0		ChEMBL
CHEMBL3195657	AC1NZH4G		CC(C)C1=CC=C(C=C1)C=NNC2=CC=C(C=C2)C(=O)O					0		ChEMBL
CHEMBL3191218	AC1ON5E3		C1=CC=C(C(=C1)C(=O)OC2=CC=C(C=C2)C=NNC3=CC=C(C=C3)C(=O)O)Cl					0		ChEMBL
CHEMBL3198939	AC1O0DHR		CC(C)(C)C1=CC=C(C=C1)C=NNC2=CC=CC(=C2)C(=O)O					0		ChEMBL
CHEMBL3191946	AC1O181G		CC(C)N1C=C(C2=CC=CC=C21)C=NNC3=CC=C(C=C3)C(=O)O					0		ChEMBL
CHEMBL3195389	AC1O1XZO		CC1=NN(C(=C1C=NNC2=NC3=CC=CC=C3S2)Cl)C4=CC=CC=C4Cl					0		ChEMBL
CHEMBL3193530	AC1NYE2E		CC1=CC=C(S1)C=NNC2=CC=C(C=C2)C(=O)O					0		ChEMBL
PUBCHEM:10691837	nn-dimethyl guanylic acid		CN(C)C1=NC(=O)C2=C(N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O	10691837				0		
PUBCHEM:10878285	4-hydroxymethyl-3-methylindole-2-carboxylate		CC1=C(NC2=CC=CC(=C12)CO)C(=O)O	10878285				2	BLD Pharm; Excenen Pharmatech	
PUBCHEM:10965805	ZINC11887869		COC1=CC=C(C=C1)C(C(C(=O)O)N)O	10965805				0		
PUBCHEM:11062499	RP08852		C1CNC(CC1=O)C(=O)O	11062499				28	001Chemical; A2B Chem; AA BLOCKS; AChemBlock; AKos Consulting & Solutions	
CHEMBL1339283	Smr000204784		CC1=CC(=C(N1C2=CC=CC=C2)C)C=C3CC4=CC=CC=C4C3=O					0		ChEMBL
CHEMBL1333930	Mls000583076		C1COC2=C(O1)C=CC(=C2)N3N=C(C(=NC4=CC=CC=C4)N3O)[N+](=O)[O-]					0		ChEMBL
CHEMBL1495977	Mls000720408		COC(=O)C1=CC2=C(C=C1)N=C(S2)NC3=NC4=C(S3)C=C(C=C4)F					0		ChEMBL
PUBCHEM:12803287	RTMP		CC1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O	12803287				22	10X CHEM; A2B Chem; Accel Scientific; AiFChem, an XtalPi Company; Ambeed	
PUBCHEM:12876354	GGZ		C1=NC2=C(C(=N1)N)N=CN2C3C4C(C(O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O4)O	12876354				3	Alfa Chemistry; BLD Pharm; BOC Sciences	
PUBCHEM:14728174	N(2)-methyl-GMP		CNC1=NC(=O)C2=C(N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O	14728174				0		
PUBCHEM:16040250	[(2S)-1-[2-azanylethoxy(oxidanyl)phosphoryl]oxy-3-hexadecanoyloxy-propan-2-yl] octadecanoate		CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN	16040250				0		
PUBCHEM:16040283	13T		CC=CC(C)C1C(O1)(C)C(C2COC(=O)C(C(C(C(=O)C(C(C(=CC(C(=O)CCC(C2=O)C)C)C)O)C)C)OC)O)O	16040283				2	BenchChem; RR Scientific	
CHEMBL1971760	AC1O9NFR		CN=C1N(C(=CS1)C2=CC=CC=C2F)NC=C3C=CC=N3					0		ChEMBL
CHEMBL3190911	AC1O0ZA6		C1=CC2=C(C(=C1)OCC3=CC=C(C=C3)C(=O)NNC=C4C=CC=N4)N=CC=C2					0		ChEMBL
CHEMBL1230331	4-thiouridylate		C1=CN(C(=O)NC1=S)C2C(C(C(O2)COP(=O)(O)O)O)O					0		ChEMBL
CHEMBL1230507	A-7698		CNC1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O					0		ChEMBL
PUBCHEM:16760241	Tn antigen		CC(=O)NC1C(C(C(OC1OCC(C(=O)[O-])[NH3+])CO)O)O	16760241				0		
PUBCHEM:18596452	CTK0J9100		CN1C(=O)C2=C(N=C1N)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O	18596452				5	001Chemical; BLD Pharm; CymitQuimica; RR Scientific; Starshine Chemical	
PUBCHEM:18628280	hydron;phosphonato phosphate		[H+].[H+].[O-]P(=O)([O-])OP(=O)([O-])[O-]	18628280				0		
PUBCHEM:18931838	AGN-PC-0BUEPK		[H+].[H+].[O-]S(=O)(=S)[O-]	18931838				0		
PUBCHEM:19420248	hydron;phosphate		[H-].[O-]P(=O)([O-])[O-]	19420248				0		
PUBCHEM:20042692	hydron;sulfate		[H-].[O-]S(=O)(=O)[O-]	20042692				0		
PUBCHEM:20274032	hydron;acetate		[H+].CC(=O)O	20274032				0		
PUBCHEM:20395750	ethane-1,2-diol;hydron		[H+].C(CO)O	20395750				0		
CHEMBL1472925	HMS2883F04		CC1=NC2=C(C=NN2C(=C1C3=CC=CC=C3)N)C4=CC=CC=C4					0		ChEMBL
CHEMBL1301042	HMS3358O07		CC(C)(C)OC(=O)N(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3S2					0		ChEMBL
CHEMBL1312738	HMS3357B03		C1CCC(CC1)(C#CC2=CC3=C(C=C2)SC4=CC=CC=C4C3=O)O					0		ChEMBL
PUBCHEM:24892762	C05696		C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O[Se](=O)(=O)O)OP(=O)(O)O)O	24892762				1	BenchChem	
CHEMBL507881	CHEMBL507881		CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)C(CCSC)NC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N					0		ChEMBL
CHEMBL525809	CHEMBL526323		CC(C)CC(C(=O)NC(C(C)C)C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N					0		ChEMBL
CHEMBL526492	CHEMBL526492		CC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)C(CS)NC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N					0		ChEMBL
CHEMBL505657	AGN-PC-04XN7E		CC(C)C(C(=O)NC(C(C)C)C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)N					0		ChEMBL
