compound_id	pref_name	max_phase	canonical_smiles	pubchem_cid	inchikey	alogp	mw	n_vendors	example_vendors	structure_source
CHEMBL3937369			c1cnc2ncn(-c3cc(Nc4ccc(OCCN5CCCCC5)cn4)ncn3)c2c1	132968992	CODOEMQMKTTYRW-UHFFFAOYSA-N	3.21	416.49	2	BLD Pharm; Starshine Chemical	ChEMBL
CHEMBL3975567			CN1CCC[C@H]1COc1ccc(Nc2cc(-n3cnc4ncccc43)ncn2)nc1	132968991	KXBKPNSSZAFEBH-HNNXBMFYSA-N	2.82	402.46	0		ChEMBL
CHEMBL3946252			CN(C)C1CCN(c2ccc(Nc3cc(-n4cnc5ccccc54)ncn3)nc2)CC1	134147440	KWBCXZRKOCGHBO-UHFFFAOYSA-N	3.48	414.52	0		ChEMBL
CHEMBL3947240			C[C@H]1CN(C)CCN1c1ccc(Nc2cc(-n3cnc4ccccc43)ncn2)nc1	134146959	NLHYGQYUFSGNSW-INIZCTEOSA-N	3.09	400.49	2	AiFChem, an XtalPi Company; BLD Pharm	ChEMBL
CHEMBL3919459			CN1CCN(c2ccc(Nc3cc(-n4cnc5ccccc54)ncn3)nc2)CC1	134140050	AWYBHCVXZFMJHV-UHFFFAOYSA-N	2.71	386.46	0		ChEMBL
CHEMBL3955977			CN1CCC(Oc2ccc(Nc3cc(-n4cnc5ccccc54)ncn3)nc2)CC1	134144556	SNDUMMORNAWFFB-UHFFFAOYSA-N	3.43	401.47	0		ChEMBL
CHEMBL3928361			c1ccc2c(c1)ncn2-c1cc(Nc2ccc(OCCN3CCCCC3)cn2)ncn1	134140744	QLQYWGHSSLXLOS-UHFFFAOYSA-N	3.82	415.5	0		ChEMBL
CHEMBL3900925			c1ccc2c(c1)ncn2-c1cc(Nc2ccc(OCCN3CCOCC3)cn2)ncn1	134133649	REJHOMMDDHCCJU-UHFFFAOYSA-N	2.67	417.47	0		ChEMBL
CHEMBL3972065			CN1CCC[C@@H]1COc1ccc(Nc2cc(-n3cnc4ccccc43)ncn2)nc1	134153731	JCQSAYNTEFQHGH-MRXNPFEDSA-N	3.43	401.47	0		ChEMBL
CHEMBL3953713			CN1CCC[C@H]1COc1ccc(Nc2cc(-n3cnc4ccccc43)ncn2)nc1	134144030	JCQSAYNTEFQHGH-INIZCTEOSA-N	3.43	401.47	0		ChEMBL
CHEMBL3901185			CN(C)CCCc1ccc(Nc2cc(-n3cnc4ccccc43)ncn2)nc1	134133558	NYPBFUANCHGSJU-UHFFFAOYSA-N	3.45	373.46	0		ChEMBL
